X_Coord_m,Z_Coord_m,Std_Wenner_Apparent_Resistivity_Ohmm,PseudoDiode_Apparent_Resistivity_Ohmm,Relative_Error
-153.75,-2.5,217.124,218.844,0.007922
-151.25,-2.5,223.03,220.198,0.012698
-148.75,-2.5,214.679,220.274,0.026062
-146.25,-2.5,191.435,206.887,0.080717
-143.75,-2.5,226.949,241.263,0.063071
-141.25,-2.5,188.66,208.606,0.105725
-138.75,-2.5,225.389,240.207,0.065744
-136.25,-2.5,213.746,233.67,0.093213
-133.75,-2.5,194.015,190.12,0.020076
-131.25,-2.5,219.487,205.224,0.064983
-128.75,-2.5,211.062,218.502,0.03525
-126.25,-2.5,223.452,213.897,0.042761
-123.75,-2.5,216.172,234.469,0.084641
-121.25,-2.5,217.584,234.071,0.075773
-118.75,-2.5,216.643,220.396,0.017323
-116.25,-2.5,219.123,216.532,0.011824
-113.75,-2.5,192.937,199.099,0.031938
-111.25,-2.5,225.94,239.751,0.061127
-108.75,-2.5,216.191,218.267,0.009603
-106.25,-2.5,217.032,233.717,0.076878
-103.75,-2.5,221.25,237.432,0.073139
-101.25,-2.5,194.243,189.6,0.023903
-98.75,-2.5,219.521,206.753,0.058163
-96.25,-2.5,210.092,195.776,0.068142
-93.75,-2.5,224.627,228.704,0.01815
-91.25,-2.5,191.301,172.134,0.100193
-88.75,-2.5,225.878,228.682,0.012414
-86.25,-2.5,216.249,213.078,0.014664
-83.75,-2.5,217.093,207.237,0.0454
-81.25,-2.5,221.277,203.739,0.079258
-78.75,-2.5,194.331,207.785,0.069232
-76.25,-2.5,219.512,234.967,0.070406
-73.75,-2.5,217.074,215.103,0.00908
-71.25,-2.5,217.898,239.354,0.098468
-68.75,-2.5,211.793,212.272,0.002262
-66.25,-2.5,223.473,219.903,0.015975
-63.75,-2.5,216.266,241.221,0.11539
-61.25,-2.5,217.271,222.09,0.02218
-58.75,-2.5,221.349,223.843,0.011267
-56.25,-2.5,194.349,186.842,0.038626
-53.75,-2.5,219.663,227.475,0.035564
-51.25,-2.5,210.235,198.921,0.053816
-48.75,-2.5,224.779,215.318,0.04209
-46.25,-2.5,191.452,170.544,0.109208
-43.75,-2.5,226.026,205.477,0.090914
-41.25,-2.5,216.401,205.762,0.049163
-38.75,-2.5,217.255,224.621,0.033905
-36.25,-2.5,221.458,233.309,0.053514
-33.75,-2.5,194.541,195.936,0.007171
-31.25,-2.5,219.761,242.62,0.104018
-28.75,-2.5,217.369,209.468,0.036348
-26.25,-2.5,218.242,221.244,0.013755
-23.75,-2.5,212.203,231.233,0.089678
-21.25,-2.5,223.435,229.901,0.028939
-18.75,-2.5,220.075,240.534,0.092964
-16.25,-2.5,194.887,195.638,0.003854
-13.75,-2.5,220.374,241.987,0.098074
-11.25,-2.5,217.947,235.961,0.082653
-8.75,-2.5,218.453,228.15,0.044389
-6.25,-2.5,216.18,216.023,0.000726
-3.75,-2.5,193.217,191.129,0.010807
-1.25,-2.5,228.514,223.91,0.020148
1.25,-2.5,191.925,185.459,0.03369
3.75,-2.5,196.117,196.622,0.002575
6.25,-2.5,196.486,211.328,0.075537
8.75,-2.5,225.767,223.12,0.011724
11.25,-2.5,210.933,221.817,0.051599
13.75,-2.5,221.502,215.96,0.02502
16.25,-2.5,192.996,195.952,0.015316
18.75,-2.5,225.118,201.782,0.103661
21.25,-2.5,213.168,210.523,0.012408
23.75,-2.5,194.684,189.219,0.028071
26.25,-2.5,226.776,217.549,0.040688
28.75,-2.5,220.841,230.884,0.045476
31.25,-2.5,195.326,197.186,0.009523
33.75,-2.5,221.01,199.589,0.096923
36.25,-2.5,212.493,193.645,0.088699
38.75,-2.5,224.477,216.14,0.03714
41.25,-2.5,221.079,224.722,0.016478
43.75,-2.5,195.786,217.824,0.112562
46.25,-2.5,220.914,225.857,0.022375
48.75,-2.5,216.846,220.021,0.014642
51.25,-2.5,223.992,222.103,0.008433
53.75,-2.5,213.929,217.389,0.016174
56.25,-2.5,194.944,188.559,0.032753
58.75,-2.5,227.133,217.097,0.044186
61.25,-2.5,220.795,227.867,0.03203
63.75,-2.5,191.87,181.464,0.054235
66.25,-2.5,223.06,217.789,0.02363
68.75,-2.5,215.091,211.493,0.016728
71.25,-2.5,195.485,190.069,0.027705
73.75,-2.5,221.017,243.691,0.102589
76.25,-2.5,212.51,222.938,0.049071
78.75,-2.5,224.95,245.626,0.091914
