X_Coord_m,Z_Coord_m,Std_Wenner_Apparent_Resistivity_Ohmm,PseudoDiode_Apparent_Resistivity_Ohmm,Relative_Error
-153.75,-1.25,208.298,217.536,0.04435
-151.25,-1.25,206.488,209.432,0.014257
-148.75,-1.25,204.664,211.353,0.032683
-146.25,-1.25,230.772,240.183,0.040781
-143.75,-1.25,178.952,190.35,0.063693
-141.25,-1.25,238.363,251.176,0.053754
-138.75,-1.25,191.316,208.368,0.08913
-136.25,-1.25,206.14,208.792,0.012865
-133.75,-1.25,226.361,224.099,0.009993
-131.25,-1.25,197.779,201.372,0.018167
-128.75,-1.25,220.757,211.937,0.039953
-126.25,-1.25,206.517,225.502,0.091929
-123.75,-1.25,218.507,230.389,0.054378
-121.25,-1.25,213.5,214.638,0.00533
-118.75,-1.25,214.446,213.354,0.005092
-116.25,-1.25,199.634,199.469,0.000827
-113.75,-1.25,231.759,231.16,0.002585
-111.25,-1.25,195.593,205.536,0.050835
-108.75,-1.25,218.2,233.268,0.069056
-106.25,-1.25,214.838,222.204,0.034286
-103.75,-1.25,199.434,204.458,0.025191
-101.25,-1.25,228.635,223.362,0.023063
-98.75,-1.25,197.333,185.901,0.057933
-96.25,-1.25,220.679,209.455,0.050861
-93.75,-1.25,192.019,182.101,0.051651
-91.25,-1.25,235.968,251.579,0.066157
-88.75,-1.25,194.952,187.3,0.039251
-86.25,-1.25,217.877,220.662,0.012782
-83.75,-1.25,214.67,217.64,0.013835
-81.25,-1.25,199.403,206.507,0.035626
-78.75,-1.25,228.682,234.848,0.026963
-76.25,-1.25,199.772,202.185,0.012079
-73.75,-1.25,214.438,215.833,0.006505
-71.25,-1.25,211.646,203.677,0.037652
-68.75,-1.25,219.951,223.016,0.013935
-66.25,-1.25,206.422,216.432,0.048493
-63.75,-1.25,218.183,215.026,0.01447
-61.25,-1.25,214.538,232.368,0.083109
-58.75,-1.25,199.169,201.261,0.010504
-56.25,-1.25,228.324,237.427,0.039869
-53.75,-1.25,196.974,193.701,0.016616
-51.25,-1.25,220.35,237.964,0.079936
-48.75,-1.25,191.691,189.922,0.009228
-46.25,-1.25,235.651,233.983,0.007078
-43.75,-1.25,194.644,185.389,0.047548
-41.25,-1.25,217.562,223.16,0.025731
-38.75,-1.25,214.332,229.058,0.068706
-36.25,-1.25,199.028,208.476,0.047471
-33.75,-1.25,228.25,233.437,0.022725
-31.25,-1.25,199.26,186.062,0.066235
-28.75,-1.25,213.825,220.393,0.030717
-26.25,-1.25,210.906,212.162,0.005955
-23.75,-1.25,218.965,214.118,0.022136
-21.25,-1.25,206.267,209.262,0.01452
-18.75,-1.25,202.631,191.698,0.053955
-16.25,-1.25,226.662,239.559,0.0569
-13.75,-1.25,197.516,200.039,0.012774
-11.25,-1.25,211.948,225.072,0.061921
-8.75,-1.25,209.415,223.257,0.066098
-6.25,-1.25,198.774,202.077,0.016617
-3.75,-1.25,226.477,216.795,0.04275
-1.25,-1.25,176.086,167.533,0.048573
1.25,-1.25,215.634,215.68,0.000213
3.75,-1.25,196.585,192.376,0.021411
6.25,-1.25,212.06,209.852,0.010412
8.75,-1.25,189.025,196.371,0.038863
11.25,-1.25,217.09,216.507,0.002686
13.75,-1.25,192.317,201.703,0.048805
16.25,-1.25,228.33,215.837,0.054715
18.75,-1.25,188.239,195.361,0.037835
21.25,-1.25,202.533,191.85,0.052747
23.75,-1.25,224.948,224.104,0.003752
