BOREHOLE WITH TOPOGRAPHY
    1.00000
12
570
2
0
Topography Present
Topography information mode (0=wrt to surface electrodes)
0
Type of x-distances
2
Surface	Electrodes
31
-14.0000  0.0
-13.0000  0.03
-12.0000  0.05
-11.0000  0.08
-10.0000  0.11
-9.0000  0.13
-8.0000  0.16
-7.0000  0.18
-6.0000  0.21
-5.0000  0.26
-4.0000  0.31
-3.0000  0.36
-2.0000  0.41
-1.0000  0.46
0.0000  0.51
1.0000   0.56
2.0000  0.58
3.0000  0.60
4.0000  0.62
5.0000  0.64
6.0000  0.66
7.0000  0.68
8.0000  0.71
9.0000  0.73
10.0000  0.75
11.0000  0.77
12.0000  0.79
13.0000  0.81
14.0000  0.83
15.0000  0.85
16.0000  0.95
Borehole 1 electrodes
17
-14.0000  1.0000
-14.0000  2.0000
-14.0000  3.0000
-14.0000  4.0000
-14.0000  5.0000
-14.0000  6.0000
-14.0000  7.0000
-14.0000  8.0000
-14.0000  9.0000
-14.0000  10.0000
-14.0000  11.0000
-14.0000  12.0000
-14.0000  13.0000
-14.0000  14.0000
-14.0000  15.0000
-14.0000  16.0000
-14.0000  17.0000
Borehole 2 electrodes
17
16.0000  1.0000
16.0000  2.0000
16.0000  3.0000
16.0000  4.0000
16.0000  5.0000
16.0000  6.0000
16.0000  7.0000
16.0000  8.0000
16.0000  9.0000
16.0000  10.0000
16.0000  11.0000
16.0000  12.0000
16.0000  13.0000
16.0000  14.0000
16.0000  15.0000
16.0000  16.0000
16.0000  17.0000
Measured Data
 2 -14.0000  17.0000 -14.0000  7.0000 760.8801 
 2 -14.0000  16.0000 -14.0000  6.0000 660.1138 
 2 -14.0000  15.0000 -14.0000  5.0000 705.2156 
 2 -14.0000  14.0000 -14.0000  4.0000 718.2634 
 2 -14.0000  13.0000 -14.0000  3.0000 936.9006 
 2 -14.0000  12.0000 -14.0000  2.0000 1181.1304 
 2 -14.0000  10.0000 -14.0000  0.0000 2113.9758 
 2 -14.0000  9.0000 -13.0000  0.0000 2359.0049 
 2 -14.0000  8.0000 -12.0000  0.0000 2458.4583
 2 -14.0000  7.0000 -11.0000  0.0000 3002.4011 
 2 -14.0000  6.0000 -10.0000  0.0000 3668.0967 
 2 -14.0000  5.0000 -9.0000  0.0000 3868.8591 
 2 -14.0000  4.0000 -8.0000  0.0000 3976.2102 
 2 -14.0000  3.0000 -7.0000  0.0000 3989.2117 
 2 -14.0000  2.0000 -6.0000  0.0000 3992.0356 
 2 -14.0000  1.0000 -5.0000  0.0000 4284.5864 
 2 -14.0000  0.0000 -4.0000  0.0000 3908.9434 
 2 -13.0000  0.0000 -3.0000  0.0000 3533.8745 
 2 -12.0000  0.0000 -2.0000  0.0000 3327.1775 
 2 -11.0000  0.0000 -1.0000  0.0000 3207.7217 
 2 -10.0000  0.0000 0.0000  0.0000 3166.0127 
 2 -9.0000  0.0000 1.0000  0.0000 3168.7705 
 2 -8.0000  0.0000 2.0000  0.0000 3217.1541 
 2 -7.0000  0.0000 3.0000  0.0000 3248.5850 
 2 -6.0000  0.0000 4.0000  0.0000 3219.1602 
 2 -5.0000  0.0000 5.0000  0.0000 3229.2810 
 2 -4.0000  0.0000 6.0000  0.0000 3103.7156 
 2 -3.0000  0.0000 7.0000  0.0000 2954.4900 
 2 -2.0000  0.0000 8.0000  0.0000 2867.2173 
 2 -1.0000  0.0000 9.0000  0.0000 2929.8594 
 2 0.0000  0.0000 10.0000  0.0000 2881.9763 
 2 1.0000  0.0000 11.0000  0.0000 2784.6445 
 2 2.0000  0.0000 12.0000  0.0000 2803.9167 
 2 4.0000  0.0000 14.0000  0.0000 2844.1216 
 2 5.0000  0.0000 15.0000  0.0000 3103.4648 
 2 6.0000  0.0000 16.0000  0.0000 3426.1074 
 2 7.0000  0.0000 16.0000  1.0000 4208.1387 
 2 8.0000  0.0000 16.0000  2.0000 3783.5000
 2 9.0000  0.0000 16.0000  3.0000 3627.6997 
 2 10.0000  0.0000 16.0000  4.0000 3772.3833 
 2 11.0000  0.0000 16.0000  5.0000 3839.9426 
 2 12.0000  0.0000 16.0000  6.0000 3751.9551 
 2 13.0000  0.0000 16.0000  7.0000 3602.4744 
 2 14.0000  0.0000 16.0000  8.0000 3071.2979 
 2 15.0000  0.0000 16.0000  9.0000 2343.4829 
 2 16.0000  0.0000 16.0000  10.0000 2676.1570 
 2 16.0000  1.0000 16.0000  11.0000 1899.0061 
 2 16.0000  3.0000 16.0000  13.0000 1072.0443 
 2 16.0000  4.0000 16.0000  14.0000 763.4971 
 2 16.0000  5.0000 16.0000  15.0000 728.3074 
 2 16.0000  6.0000 16.0000  16.0000 501.8891 
 2 -14.0000  17.0000 -14.0000  8.0000 819.0500
 2 -14.0000  16.0000 -14.0000  7.0000 784.2830 
 2 -14.0000  15.0000 -14.0000  6.0000 790.9886 
 2 -14.0000  14.0000 -14.0000  5.0000 801.2231 
 2 -14.0000  13.0000 -14.0000  4.0000 1057.9294 
 2 -14.0000  12.0000 -14.0000  3.0000 1244.7065 
 2 -14.0000  11.0000 -14.0000  2.0000 1870.0630 
 2 -14.0000  10.0000 -14.0000  1.0000 2980.9419 
 2 -14.0000  9.0000 -14.0000  0.0000 2399.2625 
 2 -14.0000  8.0000 -13.0000  0.0000 2522.7598 
 2 -14.0000  7.0000 -12.0000  0.0000 3043.8662 
 2 -14.0000  6.0000 -11.0000  0.0000 3832.2285 
 2 -14.0000  5.0000 -10.0000  0.0000 4050.1816 
 2 -14.0000  4.0000 -9.0000  0.0000 4078.8347 
 2 -14.0000  3.0000 -8.0000  0.0000 4201.7832 
 2 -14.0000  2.0000 -7.0000  0.0000 4226.7686 
 2 -14.0000  1.0000 -6.0000  0.0000 4361.7866 
 2 -14.0000  0.0000 -5.0000  0.0000 4144.0161 
 2 -13.0000  0.0000 -4.0000  0.0000 3920.5637 
 2 -12.0000  0.0000 -3.0000  0.0000 3547.6624 
 2 -11.0000  0.0000 -2.0000  0.0000 3355.1484 
 2 -10.0000  0.0000 -1.0000  0.0000 3484.2346 
 2 -9.0000  0.0000 0.0000  0.0000 3449.8826 
 2 -8.0000  0.0000 1.0000  0.0000 3389.5566 
 2 -7.0000  0.0000 2.0000  0.0000 3486.6030 
 2 -6.0000  0.0000 3.0000  0.0000 3338.4807 
 2 -5.0000  0.0000 4.0000  0.0000 3602.9688 
 2 -4.0000  0.0000 5.0000  0.0000 3381.7161 
 2 -3.0000  0.0000 6.0000  0.0000 3416.8005 
 2 -2.0000  0.0000 7.0000  0.0000 3120.4146 
 2 -1.0000  0.0000 8.0000  0.0000 2965.6079 
 2 0.0000  0.0000 9.0000  0.0000 3217.3484 
 2 1.0000  0.0000 10.0000  0.0000 3186.5791 
 2 2.0000  0.0000 11.0000  0.0000 2922.0913 
 2 3.0000  0.0000 12.0000  0.0000 3205.7007 
 2 4.0000  0.0000 13.0000  0.0000 3160.1528 
 2 5.0000  0.0000 14.0000  0.0000 3040.9104 
 2 7.0000  0.0000 16.0000  0.0000 4126.8975 
 2 8.0000  0.0000 16.0000  1.0000 4339.4526 
 2 9.0000  0.0000 16.0000  2.0000 3923.0071 
 2 10.0000  0.0000 16.0000  3.0000 4076.2441 
 2 11.0000  0.0000 16.0000  4.0000 3944.3560 
 2 12.0000  0.0000 16.0000  5.0000 3778.8972 
 2 13.0000  0.0000 16.0000  6.0000 3972.7351
 2 14.0000  0.0000 16.0000  7.0000 3434.3193 
 2 15.0000  0.0000 16.0000  8.0000 2985.4531 
 2 16.0000  0.0000 16.0000  9.0000 2377.3770
 2 16.0000  1.0000 16.0000  10.0000 2592.3120 
 2 16.0000  3.0000 16.0000  12.0000 1607.9974 
 2 16.0000  4.0000 16.0000  13.0000 1057.6714 
 2 16.0000  5.0000 16.0000  14.0000 769.6450 
 2 16.0000  6.0000 16.0000  15.0000 844.4105 
 2 16.0000  7.0000 16.0000  16.0000 494.6923 
 2 -14.0000  17.0000 -14.0000  9.0000 795.8530 
 2 -14.0000  16.0000 -14.0000  8.0000 840.0750 
 2 -14.0000  15.0000 -14.0000  7.0000 885.4576 
 2 -14.0000  14.0000 -14.0000  6.0000 831.6590 
 2 -14.0000  13.0000 -14.0000  5.0000 1108.3021 
 2 -14.0000  12.0000 -14.0000  4.0000 1372.2982 
 2 -14.0000  11.0000 -14.0000  3.0000 1726.4602 
 2 -14.0000  10.0000 -14.0000  2.0000 2475.5220 
 2 -14.0000  9.0000 -14.0000  1.0000 2830.5845 
 2 -14.0000  8.0000 -14.0000  0.0000 2574.8267 
 2 -14.0000  7.0000 -13.0000  0.0000 3066.1926 
 2 -14.0000  6.0000 -12.0000  0.0000 3811.0920 
 2 -14.0000  5.0000 -11.0000  0.0000 4149.5308 
 2 -14.0000  4.0000 -10.0000  0.0000 4205.0996 
 2 -14.0000  3.0000 -9.0000  0.0000 4318.4746 
 2 -14.0000  2.0000 -8.0000  0.0000 4678.4956 
 2 -14.0000  1.0000 -7.0000  0.0000 4708.5542 
 2 -14.0000  0.0000 -6.0000  0.0000 4632.3213 
 2 -13.0000  0.0000 -5.0000  0.0000 4101.4521 
 2 -12.0000  0.0000 -4.0000  0.0000 3907.6904 
 2 -11.0000  0.0000 -3.0000  0.0000 3564.1147 
 2 -10.0000  0.0000 -2.0000  0.0000 3631.0747 
 2 -9.0000  0.0000 -1.0000  0.0000 3820.3735 
 2 -8.0000  0.0000 0.0000  0.0000 3705.2559 
 2 -7.0000  0.0000 1.0000  0.0000 3672.8159 
 2 -6.0000  0.0000 2.0000  0.0000 3769.1821 
 2 -5.0000  0.0000 3.0000  0.0000 3671.6118 
 2 -4.0000  0.0000 4.0000  0.0000 3761.7615 
 2 -3.0000  0.0000 5.0000  0.0000 3740.1021 
 2 -2.0000  0.0000 6.0000  0.0000 3628.2419 
 2 -1.0000  0.0000 7.0000  0.0000 3223.6724 
 2 0.0000  0.0000 8.0000  0.0000 3260.4238 
 2 1.0000  0.0000 9.0000  0.0000 3519.3906 
 2 2.0000  0.0000 10.0000  0.0000 3379.8044
 2 3.0000  0.0000 11.0000  0.0000 3215.0234 
 2 4.0000  0.0000 12.0000  0.0000 3364.1860 
 2 5.0000  0.0000 13.0000  0.0000 3365.1636 
 2 6.0000  0.0000 14.0000  0.0000 3273.2600 
 2 7.0000  0.0000 15.0000  0.0000 3952.3389 
 2 8.0000  0.0000 16.0000  0.0000 4478.9712 
 2 9.0000  0.0000 16.0000  1.0000 4498.7124 
 2 10.0000  0.0000 16.0000  2.0000 4581.2998 
 2 11.0000  0.0000 16.0000  3.0000 4323.5010 
 2 12.0000  0.0000 16.0000  4.0000 3869.2146 
 2 13.0000  0.0000 16.0000  5.0000 3704.9636 
 2 14.0000  0.0000 16.0000  6.0000 3553.6023 
 2 15.0000  0.0000 16.0000  7.0000 3351.5266 
 2 16.0000  0.0000 16.0000  8.0000 3039.6631 
 2 16.0000  1.0000 16.0000  9.0000 2512.5098 
 2 16.0000  3.0000 16.0000  11.0000 1878.7181 
 2 16.0000  4.0000 16.0000  12.0000 1587.4268 
 2 16.0000  5.0000 16.0000  13.0000 1076.0552 
 2 16.0000  6.0000 16.0000  14.0000 799.9285 
 2 16.0000  7.0000 16.0000  15.0000 720.8819
 2 16.0000  8.0000 16.0000  16.0000 529.7662 
 2 -14.0000  17.0000 -14.0000  10.0000 833.3506 
 2 -14.0000  16.0000 -14.0000  9.0000 842.3654 
 2 -14.0000  15.0000 -14.0000  8.0000 940.3604 
 2 -14.0000  14.0000 -14.0000  7.0000 958.4812 
 2 -14.0000  13.0000 -14.0000  6.0000 1234.5944 
 2 -14.0000  12.0000 -14.0000  5.0000 1435.3193 
 2 -14.0000  11.0000 -14.0000  4.0000 2056.5327 
 2 -14.0000  10.0000 -14.0000  3.0000 2418.8772 
 2 -14.0000  9.0000 -14.0000  2.0000 2879.5620 
 2 -14.0000  8.0000 -14.0000  1.0000 2980.8167 
 2 -14.0000  7.0000 -14.0000  0.0000 3177.4312 
 2 -14.0000  6.0000 -13.0000  0.0000 3824.6304 
 2 -14.0000  5.0000 -12.0000  0.0000 4130.3423 
 2 -14.0000  4.0000 -11.0000  0.0000 4294.5127 
 2 -14.0000  3.0000 -10.0000  0.0000 4558.3022 
 2 -14.0000  2.0000 -9.0000  0.0000 4822.1318 
 2 -14.0000  1.0000 -8.0000  0.0000 5376.4561 
 2 -14.0000  0.0000 -7.0000  0.0000 5063.2905 
 2 -13.0000  0.0000 -6.0000  0.0000 4626.1108 
 2 -12.0000  0.0000 -5.0000  0.0000 4074.8435 
 2 -11.0000  0.0000 -4.0000  0.0000 3931.2305 
 2 -10.0000  0.0000 -3.0000  0.0000 3857.2415
 2 -9.0000  0.0000 -2.0000  0.0000 3968.9817 
 2 -8.0000  0.0000 -1.0000  0.0000 4143.9629 
 2 -7.0000  0.0000 0.0000  0.0000 4014.2791 
 2 -6.0000  0.0000 1.0000  0.0000 3976.5713 
 2 -5.0000  0.0000 2.0000  0.0000 4264.9385 
 2 -4.0000  0.0000 3.0000  0.0000 3939.1274 
 2 -3.0000  0.0000 4.0000  0.0000 4217.9302 
 2 -2.0000  0.0000 5.0000  0.0000 3998.1343 
 2 -1.0000  0.0000 6.0000  0.0000 3789.7229 
 2 0.0000  0.0000 7.0000  0.0000 3584.8877 
 2 1.0000  0.0000 8.0000  0.0000 3547.0481 
 2 2.0000  0.0000 9.0000  0.0000 3757.7410 
 2 3.0000  0.0000 10.0000  0.0000 3433.2683 
 2 4.0000  0.0000 11.0000  0.0000 3465.4038 
 2 5.0000  0.0000 12.0000  0.0000 3635.7126 
 2 6.0000  0.0000 13.0000  0.0000 3675.6794 
 2 7.0000  0.0000 14.0000  0.0000 3917.5869 
 2 8.0000  0.0000 15.0000  0.0000 4405.5444 
 2 9.0000  0.0000 16.0000  0.0000 4665.9238 
 2 10.0000  0.0000 16.0000  1.0000 5646.3667 
 2 11.0000  0.0000 16.0000  2.0000 5030.0000 
 2 12.0000  0.0000 16.0000  3.0000 4277.3691 
 2 13.0000  0.0000 16.0000  4.0000 3756.5530 
 2 14.0000  0.0000 16.0000  5.0000 3524.6006 
 2 15.0000  0.0000 16.0000  6.0000 3470.2976 
 2 16.0000  0.0000 16.0000  7.0000 3383.4736 
 2 16.0000  1.0000 16.0000  8.0000 3254.7385 
 2 16.0000  4.0000 16.0000  11.0000 1882.0242 
 2 16.0000  5.0000 16.0000  12.0000 1598.8701 
 2 16.0000  6.0000 16.0000  13.0000 1127.6744 
 2 16.0000  7.0000 16.0000  14.0000 819.8579 
 2 16.0000  8.0000 16.0000  15.0000 796.6732 
 2 16.0000  9.0000 16.0000  16.0000 592.4013 
 2 -14.0000  17.0000 -14.0000  11.0000 1006.6012 
 2 -14.0000  16.0000 -14.0000  10.0000 883.8768 
 2 -14.0000  15.0000 -14.0000  9.0000 953.7294 
 2 -14.0000  14.0000 -14.0000  8.0000 1055.9468
 2 -14.0000  13.0000 -14.0000  7.0000 1455.1909 
 2 -14.0000  12.0000 -14.0000  6.0000 1616.2749 
 2 -14.0000  11.0000 -14.0000  5.0000 2317.1768 
 2 -14.0000  10.0000 -14.0000  4.0000 2682.2991 
 2 -14.0000  9.0000 -14.0000  3.0000 2730.5198 
 2 -14.0000  8.0000 -14.0000  2.0000 3478.7532
 2 -14.0000  7.0000 -14.0000  1.0000 4148.7402 
 2 -14.0000  6.0000 -14.0000  0.0000 3991.4465 
 2 -14.0000  5.0000 -13.0000  0.0000 4123.6440 
 2 -14.0000  4.0000 -12.0000  0.0000 4184.0547 
 2 -14.0000  3.0000 -11.0000  0.0000 4698.0732 
 2 -14.0000  2.0000 -10.0000  0.0000 5178.8125 
 2 -14.0000  1.0000 -9.0000  0.0000 5469.2554 
 2 -14.0000  0.0000 -8.0000  0.0000 5769.1992 
 2 -13.0000  0.0000 -7.0000  0.0000 5064.6001 
 2 -12.0000  0.0000 -6.0000  0.0000 4615.0459 
 2 -11.0000  0.0000 -5.0000  0.0000 4079.9487 
 2 -10.0000  0.0000 -4.0000  0.0000 4294.0459 
 2 -9.0000  0.0000 -3.0000  0.0000 4234.4434 
 2 -8.0000  0.0000 -2.0000  0.0000 4272.2744 
 2 -7.0000  0.0000 -1.0000  0.0000 4499.5171 
 2 -6.0000  0.0000 0.0000  0.0000 4380.1240 
 2 -5.0000  0.0000 1.0000  0.0000 4510.3818 
