Pole-dipole 4 boreholes test
1.0
12
1160
2
0
Surface Electrodes
16
0.0,  0.0
1.0,  0.0
2.0,  0.0
3.0,  0.0
4.0,  0.0
5.0,  0.0
6.0,  0.0
7.0,  0.0
8.0,  0.0
9.0,  0.0
10.0, 0.0
11.0, 0.0
12.0, 0.0
13.0, 0.0
14.0, 0.0
15.0, 0.0
Number of boreholes
4
Borehole 1 Electrodes
11
  4.0 1.0
  4.0 2.0
  4.0 3.0
  4.0 4.0
  4.0 5.0
  4.0 6.0
  4.0 7.0
  4.0 8.0
  4.0 9.0
  4.0 10.0
  4.0 11.0
Borehole 2 Electrodes
11
  5.0 1.0
  5.0 2.0
  5.0 3.0
  5.0 4.0
  5.0 5.0
  5.0 6.0
  5.0 7.0
  5.0 8.0
  5.0 9.0
  5.0 10.0
  5.0 11.0
Borehole 3 Electrodes
11
 10.0 1.0
 10.0 2.0
 10.0 3.0
 10.0 4.0
 10.0 5.0
 10.0 6.0
 10.0 7.0
 10.0 8.0
 10.0 9.0
 10.0 10.0
 10.0 11.0
Borehole 4 Electrodes
11
11.0 1.0
11.0 2.0
11.0 3.0
11.0 4.0
11.0 5.0
11.0 6.0
11.0 7.0
11.0 8.0
11.0 9.0
11.0 10.0
11.0 11.0
Error estimate for data present
Type of error estimate (0=same unit as data)
0
Measured Data
3    0.000    0.000   1.000    0.000    2.000    0.000   99.535960  2.031346
3    0.000    0.000   2.000    0.000    3.000    0.000  100.391418  0.455192
3    0.000    0.000   3.000    0.000    4.000    0.000   97.681137  1.880883
3    0.000    0.000   4.000    0.000    5.000    0.000  100.146311  0.564082
3    0.000    0.000   5.000    0.000    6.000    0.000   99.585765  1.802884
3    0.000    0.000   6.000    0.000    7.000    0.000  106.780990  0.718353
3    0.000    0.000   7.000    0.000    8.000    0.000  111.265516  1.886500
3    0.000    0.000   8.000    0.000    9.000    0.000  120.003440  0.938537
3    0.000    0.000   9.000    0.000   10.000    0.000  118.716662  1.876898
3    0.000    0.000  10.000    0.000   11.000    0.000  118.352480  0.587763
3    0.000    0.000  11.000    0.000   12.000    0.000  111.592289  1.636631
3    0.000    0.000  12.000    0.000   13.000    0.000  109.684813  0.665091
3    0.000    0.000  13.000    0.000   14.000    0.000  104.386563  1.411960
3    0.000    0.000  14.000    0.000   15.000    0.000  104.280985  0.746515
3    1.000    0.000   2.000    0.000    3.000    0.000  100.311166  1.242621
3    1.000    0.000   3.000    0.000    4.000    0.000  100.668277  0.830524
3    1.000    0.000   4.000    0.000    5.000    0.000   98.555533  1.108910
3    1.000    0.000   5.000    0.000    6.000    0.000  101.742313  0.950306
