Gladokvarn profile 2
  2.0
 1
 536
1
0
32 48 596.702
40 48 494.311
48 48 383.475
20 40 782.885
28 40 640.885
36 40 447.488
44 40 345.450
52 40 320.819
60 40 342.559
8 32 1167.165
16 32 911.816
24 32 639.377
32 32 432.283
40 32 288.825
48 32 319.487
56 32 313.053
64 32 296.667
72 32 233.634
-4 24 1256.134
68 24 180.353
4 24 1381.295
76 24 128.479
12 24 1002.796
84 24 106.161
20 24 763.030
28 24 435.802
36 24 276.334
44 24 262.612
52 24 289.755
60 24 279.426
-16 16 1886.966
32 16 248.311
80 16 79.218
-8 16 1860.326
40 16 214.131
88 16 73.086
0 16 1346.110
48 16 238.761
96 16 65.295
8 16 1200.842
56 16 206.088
16 16 979.674
24 16 660.488
72 16 97.967
-28 8 3206.938
-4 8 3523.610
20 8 811.536
44 8 138.733
92 8 39.936
-20 8 3930.761
4 8 1719.080
28 8 250.825
52 8 137.225
100 8 33.326
-12 8 2603.752
12 8 1955.327
36 8 214.634
60 8 105.055
84 8 42.324
108 8 40.036
18 12 1163.395
54 12 165.122
22 12 802.237
58 12 145.330
26 12 526.280
62 12 121.316
30 12 251.830
34 12 195.281
38 12 199.428
42 12 219.409
46 12 194.150
50 12 174.924
16 8 1342.088
40 8 170.903
64 8 102.542
24 8 610.223
48 8 145.519
32 8 183.720
56 8 118.627
9 6 2412.743
27 6 246.552
45 6 115.925
63 6 92.740
11 6 2571.079
29 6 208.853
47 6 121.391
65 6 80.676
13 6 2001.823
31 6 194.150
49 6 122.899
67 6 71.176
15 6 1232.761
33 6 191.511
51 6 126.669
69 6 57.114
17 6 795.451
35 6 182.841
53 6 118.375
71 6 49.122
19 6 852.000
37 6 164.745
55 6 113.474
21 6 852.000
39 6 136.471
57 6 100.657
23 6 840.690
41 6 118.752
59 6 98.206
25 6 501.775
43 6 117.244
61 6 95.379
6 4 1937.734
18 4 942.478
30 4 189.501
42 4 90.478
54 4 92.991
66 4 56.800
8 4 2543.433
20 4 1329.522
32 4 136.722
44 4 91.986
56 4 89.221
68 4 44.900
10 4 3015.929
22 4 819.327
34 4 132.198
46 4 89.473
58 4 86.582
70 4 35.714
12 4 2623.858
24 4 494.110
36 4 122.145
48 4 92.991
60 4 79.671
72 4 32.773
14 4 1623.575
26 4 312.903
38 4 97.515
50 4 102.793
62 4 68.864
74 4 31.592
16 4 967.611
28 4 249.568
40 4 85.954
52 4 103.673
64 4 63.837
3 2 3179.292
9 2 3091.327
15 2 1435.080
21 2 821.841
27 2 213.314
33 2 67.733
39 2 55.669
45 2 59.188
51 2 64.842
57 2 57.177
63 2 39.961
69 2 27.646
75 2 22.707
5 2 1966.637
11 2 2651.504
