Example configurations - Gradient array
1.000
11
15
Type of measurement (0=app. resistivity,1=resistance)
0
1792
1
0
4      0.000,     0.000       9.000,     0.000       1.000,     0.000       2.000,     0.000     5.0588
4      1.000,     0.000      10.000,     0.000       2.000,     0.000       3.000,     0.000     5.0724
4      2.000,     0.000      11.000,     0.000       3.000,     0.000       4.000,     0.000     5.0758
4      3.000,     0.000      12.000,     0.000       4.000,     0.000       5.000,     0.000     5.0778
4      4.000,     0.000      13.000,     0.000       5.000,     0.000       6.000,     0.000     5.0798
4      0.000,     0.000       9.000,     0.000       7.000,     0.000       8.000,     0.000     5.0778
4      5.000,     0.000      14.000,     0.000       6.000,     0.000       7.000,     0.000     5.0830
4      1.000,     0.000      10.000,     0.000       8.000,     0.000       9.000,     0.000     5.0796
4      6.000,     0.000      15.000,     0.000       7.000,     0.000       8.000,     0.000     5.0899
4      2.000,     0.000      11.000,     0.000       9.000,     0.000      10.000,     0.000     5.0824
4      7.000,     0.000      16.000,     0.000       8.000,     0.000       9.000,     0.000     5.1070
4      3.000,     0.000      12.000,     0.000      10.000,     0.000      11.000,     0.000     5.0879
4      8.000,     0.000      17.000,     0.000       9.000,     0.000      10.000,     0.000     5.1184
4      4.000,     0.000      13.000,     0.000      11.000,     0.000      12.000,     0.000     5.1005
4      9.000,     0.000      18.000,     0.000      10.000,     0.000      11.000,     0.000     5.0937
4      5.000,     0.000      14.000,     0.000      12.000,     0.000      13.000,     0.000     5.1368
4     10.000,     0.000      19.000,     0.000      11.000,     0.000      12.000,     0.000     5.0724
4      6.000,     0.000      15.000,     0.000      13.000,     0.000      14.000,     0.000     5.2838
4     11.000,     0.000      20.000,     0.000      12.000,     0.000      13.000,     0.000     5.0484
4      7.000,     0.000      16.000,     0.000      14.000,     0.000      15.000,     0.000     6.6857
4     12.000,     0.000      21.000,     0.000      13.000,     0.000      14.000,     0.000     5.0089
4      8.000,     0.000      17.000,     0.000      15.000,     0.000      16.000,     0.000     8.6585
4     13.000,     0.000      22.000,     0.000      14.000,     0.000      15.000,     0.000     4.9081
4      9.000,     0.000      18.000,     0.000      16.000,     0.000      17.000,     0.000    13.3400
4     14.000,     0.000      23.000,     0.000      15.000,     0.000      16.000,     0.000     4.4472
4     10.000,     0.000      19.000,     0.000      17.000,     0.000      18.000,     0.000    23.7176
4     15.000,     0.000      24.000,     0.000      16.000,     0.000      17.000,     0.000     5.9047
4     11.000,     0.000      20.000,     0.000      18.000,     0.000      19.000,     0.000    21.7235
4     16.000,     0.000      25.000,     0.000      17.000,     0.000      18.000,     0.000     9.4683
4     12.000,     0.000      21.000,     0.000      19.000,     0.000      20.000,     0.000    21.4706
4     17.000,     0.000      26.000,     0.000      18.000,     0.000      19.000,     0.000    12.5895
4     13.000,     0.000      22.000,     0.000      20.000,     0.000      21.000,     0.000    21.3822
4     18.000,     0.000      27.000,     0.000      19.000,     0.000      20.000,     0.000    20.7835
4     14.000,     0.000      23.000,     0.000      21.000,     0.000      22.000,     0.000    21.1823
4     19.000,     0.000      28.000,     0.000      20.000,     0.000      21.000,     0.000    21.3205
4     15.000,     0.000      24.000,     0.000      22.000,     0.000      23.000,     0.000    19.3920
4     20.000,     0.000      29.000,     0.000      21.000,     0.000      22.000,     0.000    21.4237
4     16.000,     0.000      25.000,     0.000      23.000,     0.000      24.000,     0.000    12.2200
4     21.000,     0.000      30.000,     0.000      22.000,     0.000      23.000,     0.000    21.5496
4     17.000,     0.000      26.000,     0.000      24.000,     0.000      25.000,     0.000     6.7916
4     22.000,     0.000      31.000,     0.000      23.000,     0.000      24.000,     0.000    22.1886
4     18.000,     0.000      27.000,     0.000      25.000,     0.000      26.000,     0.000     4.8151
4     23.000,     0.000      32.000,     0.000      24.000,     0.000      25.000,     0.000    21.6313
4     19.000,     0.000      28.000,     0.000      26.000,     0.000      27.000,     0.000     4.7763
4     24.000,     0.000      33.000,     0.000      25.000,     0.000      26.000,     0.000    12.5357
4     20.000,     0.000      29.000,     0.000      27.000,     0.000      28.000,     0.000     4.9724
4     25.000,     0.000      34.000,     0.000      26.000,     0.000      27.000,     0.000     6.9923
4     21.000,     0.000      30.000,     0.000      28.000,     0.000      29.000,     0.000     5.0318
4     26.000,     0.000      35.000,     0.000      27.000,     0.000      28.000,     0.000     5.5535
4     22.000,     0.000      31.000,     0.000      29.000,     0.000      30.000,     0.000     5.0610
4     27.000,     0.000      36.000,     0.000      28.000,     0.000      29.000,     0.000     5.1818
4     23.000,     0.000      32.000,     0.000      30.000,     0.000      31.000,     0.000     5.0825
4     28.000,     0.000      37.000,     0.000      29.000,     0.000      30.000,     0.000     5.1124
4     24.000,     0.000      33.000,     0.000      31.000,     0.000      32.000,     0.000     5.1048
4     29.000,     0.000      38.000,     0.000      30.000,     0.000      31.000,     0.000     5.0910
4     25.000,     0.000      34.000,     0.000      32.000,     0.000      33.000,     0.000     5.1087
4     30.000,     0.000      39.000,     0.000      31.000,     0.000      32.000,     0.000     5.0820
4     26.000,     0.000      35.000,     0.000      33.000,     0.000      34.000,     0.000     5.0950
4     31.000,     0.000      40.000,     0.000      32.000,     0.000      33.000,     0.000     5.0767
4     27.000,     0.000      36.000,     0.000      34.000,     0.000      35.000,     0.000     5.0833
4     32.000,     0.000      41.000,     0.000      33.000,     0.000      34.000,     0.000     5.0721
4     28.000,     0.000      37.000,     0.000      35.000,     0.000      36.000,     0.000     5.0774
4     33.000,     0.000      42.000,     0.000      34.000,     0.000      35.000,     0.000     5.0661
4     29.000,     0.000      38.000,     0.000      36.000,     0.000      37.000,     0.000     5.0726
4     34.000,     0.000      43.000,     0.000      35.000,     0.000      36.000,     0.000     5.0562
4     30.000,     0.000      39.000,     0.000      37.000,     0.000      38.000,     0.000     5.0667
4     35.000,     0.000      44.000,     0.000      36.000,     0.000      37.000,     0.000     5.0404
4     31.000,     0.000      40.000,     0.000      38.000,     0.000      39.000,     0.000     5.0564
4     36.000,     0.000      45.000,     0.000      37.000,     0.000      38.000,     0.000     5.0356
4     32.000,     0.000      41.000,     0.000      39.000,     0.000      40.000,     0.000     5.0353
4     37.000,     0.000      46.000,     0.000      38.000,     0.000      39.000,     0.000     5.0425
4     33.000,     0.000      42.000,     0.000      40.000,     0.000      41.000,     0.000     4.9839
4     38.000,     0.000      47.000,     0.000      39.000,     0.000      40.000,     0.000     5.0578
4     34.000,     0.000      43.000,     0.000      41.000,     0.000      42.000,     0.000     4.8244
4     39.000,     0.000      48.000,     0.000      40.000,     0.000      41.000,     0.000     5.0833
4     35.000,     0.000      44.000,     0.000      42.000,     0.000      43.000,     0.000     4.1724
4     40.000,     0.000      49.000,     0.000      41.000,     0.000      42.000,     0.000     5.1295
4     36.000,     0.000      45.000,     0.000      43.000,     0.000      44.000,     0.000     3.3165
4     41.000,     0.000      50.000,     0.000      42.000,     0.000      43.000,     0.000     5.2250
4     37.000,     0.000      46.000,     0.000      44.000,     0.000      45.000,     0.000     2.7578
4     42.000,     0.000      51.000,     0.000      43.000,     0.000      44.000,     0.000     5.3797
4     38.000,     0.000      47.000,     0.000      45.000,     0.000      46.000,     0.000     2.6611
4     43.000,     0.000      52.000,     0.000      44.000,     0.000      45.000,     0.000     4.5238
4     39.000,     0.000      48.000,     0.000      46.000,     0.000      47.000,     0.000     2.6932
4     44.000,     0.000      53.000,     0.000      45.000,     0.000      46.000,     0.000     3.4197
4     40.000,     0.000      49.000,     0.000      47.000,     0.000      48.000,     0.000     2.7488
4     45.000,     0.000      54.000,     0.000      46.000,     0.000      47.000,     0.000     2.8935
4     41.000,     0.000      50.000,     0.000      48.000,     0.000      49.000,     0.000     2.8928
4     46.000,     0.000      55.000,     0.000      47.000,     0.000      48.000,     0.000     2.7506
4     42.000,     0.000      51.000,     0.000      49.000,     0.000      50.000,     0.000     3.4202
4     47.000,     0.000      56.000,     0.000      48.000,     0.000      49.000,     0.000     2.6965
4     43.000,     0.000      52.000,     0.000      50.000,     0.000      51.000,     0.000     4.5267
4     48.000,     0.000      57.000,     0.000      49.000,     0.000      50.000,     0.000     2.6671
4     44.000,     0.000      53.000,     0.000      51.000,     0.000      52.000,     0.000     5.3874
4     49.000,     0.000      58.000,     0.000      50.000,     0.000      51.000,     0.000     2.7714
4     45.000,     0.000      54.000,     0.000      52.000,     0.000      53.000,     0.000     5.2372
4     50.000,     0.000      59.000,     0.000      51.000,     0.000      52.000,     0.000     3.3475
4     46.000,     0.000      55.000,     0.000      53.000,     0.000      54.000,     0.000     5.1482
4     51.000,     0.000      60.000,     0.000      52.000,     0.000      53.000,     0.000     4.2177
4     47.000,     0.000      56.000,     0.000      54.000,     0.000      55.000,     0.000     5.1133
4     52.000,     0.000      61.000,     0.000      53.000,     0.000      54.000,     0.000     4.8738
4     48.000,     0.000      57.000,     0.000      55.000,     0.000      56.000,     0.000     5.1088
4     53.000,     0.000      62.000,     0.000      54.000,     0.000      55.000,     0.000     5.0271
4     49.000,     0.000      58.000,     0.000      56.000,     0.000      57.000,     0.000     5.1391
4     54.000,     0.000      63.000,     0.000      55.000,     0.000      56.000,     0.000     5.0609
4     50.000,     0.000      59.000,     0.000      57.000,     0.000      58.000,     0.000     5.2558
4     55.000,     0.000      64.000,     0.000      56.000,     0.000      57.000,     0.000     5.0492
4     51.000,     0.000      60.000,     0.000      58.000,     0.000      59.000,     0.000     5.7248
4     56.000,     0.000      65.000,     0.000      57.000,     0.000      58.000,     0.000     5.0133
4     52.000,     0.000      61.000,     0.000      59.000,     0.000      60.000,     0.000     6.9319
4     57.000,     0.000      66.000,     0.000      58.000,     0.000      59.000,     0.000     4.9624
4     53.000,     0.000      62.000,     0.000      60.000,     0.000      61.000,     0.000     8.3972
4     58.000,     0.000      67.000,     0.000      59.000,     0.000      60.000,     0.000     4.9009
4     54.000,     0.000      63.000,     0.000      61.000,     0.000      62.000,     0.000     8.4469
4     59.000,     0.000      68.000,     0.000      60.000,     0.000      61.000,     0.000     5.3499
4     55.000,     0.000      64.000,     0.000      62.000,     0.000      63.000,     0.000     7.5928
4     60.000,     0.000      69.000,     0.000      61.000,     0.000      62.000,     0.000     6.3610
