Fault and block model
   1.00
3
432
1
1
Chargeability
msec
0.1,1.0
      1.50	 1.00 1      12.04     7.2038
      2.50	 1.00 1      12.03     7.1983
      3.50	 1.00 1      12.02     7.1893
      4.50	 1.00 1      12.02     7.1827
      5.50	 1.00 1      12.02     7.1848
      6.50	 1.00 1      12.02     7.1908
      7.50	 1.00 1      12.02     7.2039
      8.50	 1.00 1      12.02     7.2300
      9.50	 1.00 1      12.03     7.2771
     10.50	 1.00 1      12.04     7.3573
     11.50	 1.00 1      12.06     7.4954
     12.50	 1.00 1      12.09     7.7467
     13.50	 1.00 1      12.16     8.2174
     14.50	 1.00 1      12.32     9.1599
     15.50	 1.00 1      12.62    10.6635
     16.50	 1.00 1      11.66     5.3352
     17.50	 1.00 1      10.16    -2.2390
     18.50	 1.00 1       9.87    -1.9399
     19.50	 1.00 1      10.06    -0.9607
     20.50	 1.00 1      10.18    -0.9088
     21.50	 1.00 1      10.34    -1.7733
     22.50	 1.00 1      10.61    -3.5974
     23.50	 1.00 1       9.11     8.9498
     24.50	 1.00 1       7.46    19.1964
     25.50	 1.00 1       7.46    19.2073
     26.50	 1.00 1       9.11     8.9652
     27.50	 1.00 1      10.64    -3.5703
     28.50	 1.00 1      10.37    -1.6753
     29.50	 1.00 1      10.25    -0.6463
     30.50	 1.00 1      10.21    -0.2832
     31.50	 1.00 1      10.20    -0.1341
     32.50	 1.00 1      10.19    -0.0646
      2.00	 1.00 2      15.98    20.4147
      3.00	 1.00 2      15.95    20.4270
      4.00	 1.00 2      15.94    20.4361
      5.00	 1.00 2      15.94    20.4542
      6.00	 1.00 2      15.95    20.4837
      7.00	 1.00 2      15.95    20.5297
      8.00	 1.00 2      15.96    20.6105
      9.00	 1.00 2      15.99    20.7291
     10.00	 1.00 2      16.02    20.9155
     11.00	 1.00 2      16.08    21.2062
     12.00	 1.00 2      16.18    21.6792
     13.00	 1.00 2      16.37    22.5004
     14.00	 1.00 2      16.77    24.0082
     15.00	 1.00 2      17.33    26.0551
     16.00	 1.00 2      15.23    18.7686
