LAKE LELIA UNDERWATER SURVEY
1.50
11
1
Type of measurement (0=app. resistivity.1=resistance)
0
291
2
0
    4      83.1200,0.0           92.1200,0.0          86.1200,0.0           89.1200,0.0          43.137
    4      89.1200,0.0           98.1200,0.0          92.1200,0.0           95.1200,0.0          36.599
    4      96.6200,0.0          105.6200,0.0          99.6200,0.0          102.6200,0.0          36.458
    4     104.1200,0.0          113.1200,0.0         107.1200,0.0          110.1200,0.0          37.019
    4     111.6200,0.0          120.6200,0.0         114.6200,0.0          117.6200,0.0          37.311
    4     117.6200,0.0          126.6200,0.0         120.6200,0.0          123.6200,0.0          36.646
    4     125.1200,0.0          134.1200,0.0         128.1200,0.0          131.1200,0.0          35.708
    4     132.6200,0.0          141.6200,0.0         135.6200,0.0          138.6200,0.0          34.636
    4     138.6200,0.0          147.6200,0.0         141.6200,0.0          144.6200,0.0          33.618
    4     144.6200,0.0          153.6200,0.0         147.6200,0.0          150.6200,0.0          32.334
    4     150.6200,0.0          159.6200,0.0         153.6200,0.0          156.6200,0.0          31.052
    4     156.6200,0.0          165.6200,0.0         159.6200,0.0          162.6200,0.0          30.008
    4     162.6200,0.0          171.6200,0.0         165.6200,0.0          168.6200,0.0          29.316
    4     168.6200,0.0          177.6200,0.0         171.6200,0.0          174.6200,0.0          28.792
    4     174.6200,0.0          183.6200,0.0         177.6200,0.0          180.6200,0.0          28.165
    4     182.1200,0.0          191.1200,0.0         185.1200,0.0          188.1200,0.0          27.722
    4     188.1200,0.0          197.1200,0.0         191.1200,0.0          194.1200,0.0          27.263
    4     192.6200,0.0          201.6200,0.0         195.6200,0.0          198.6200,0.0          26.761
    4     197.1200,0.0          206.1200,0.0         200.1200,0.0          203.1200,0.0          26.286
    4     201.6200,0.0          210.6200,0.0         204.6200,0.0          207.6200,0.0          25.583
    4     206.1200,0.0          215.1200,0.0         209.1200,0.0          212.1200,0.0          25.238
    4     210.6200,0.0          219.6200,0.0         213.6200,0.0          216.6200,0.0          25.173
    4     215.1200,0.0          224.1200,0.0         218.1200,0.0          221.1200,0.0          25.030
    4     219.6200,0.0          228.6200,0.0         222.6200,0.0          225.6200,0.0          24.923
    4     224.1200,0.0          233.1200,0.0         227.1200,0.0          230.1200,0.0          24.901
    4     227.1200,0.0          236.1200,0.0         230.1200,0.0          233.1200,0.0          25.087
    4     231.6200,0.0          240.6200,0.0         234.6200,0.0          237.6200,0.0          25.387
    4     234.6200,0.0          243.6200,0.0         237.6200,0.0          240.6200,0.0          26.004
    4     239.1200,0.0          248.1200,0.0         242.1200,0.0          245.1200,0.0          27.009
    4     242.1200,0.0          251.1200,0.0         245.1200,0.0          248.1200,0.0          27.900
    4     246.6200,0.0          255.6200,0.0         249.6200,0.0          252.6200,0.0          29.200
    4     249.6200,0.0          258.6200,0.0         252.6200,0.0          255.6200,0.0          30.094
    4     252.6200,0.0          261.6200,0.0         255.6200,0.0          258.6200,0.0          31.563
    4     257.1200,0.0          266.1200,0.0         260.1200,0.0          263.1200,0.0          32.242
    4     260.1200,0.0          269.1200,0.0         263.1200,0.0          266.1200,0.0          33.420
    4     267.6200,0.0          276.6200,0.0         270.6200,0.0          273.6200,0.0          34.508
    4     275.1200,0.0          284.1200,0.0         278.1200,0.0          281.1200,0.0          36.924
    4     282.6200,0.0          291.6200,0.0         285.6200,0.0          288.6200,0.0          41.416
    4     290.1200,0.0          299.1200,0.0         293.1200,0.0          296.1200,0.0          43.350
    4     297.6200,0.0          306.6200,0.0         300.6200,0.0          303.6200,0.0          44.852
    4     305.1200,0.0          314.1200,0.0         308.1200,0.0          311.1200,0.0          46.253
    4     312.6200,0.0          321.6200,0.0         315.6200,0.0          318.6200,0.0          47.107
    4     318.6200,0.0          327.6200,0.0         321.6200,0.0          324.6200,0.0          48.370
    4     326.1200,0.0          335.1200,0.0         329.1200,0.0          332.1200,0.0          50.305
    4     333.6200,0.0          342.6200,0.0         336.6200,0.0          339.6200,0.0          51.168
    4     341.1200,0.0          350.1200,0.0         344.1200,0.0          347.1200,0.0          51.808
    4     348.6200,0.0          357.6200,0.0         351.6200,0.0          354.6200,0.0          52.670
    4     356.1200,0.0          365.1200,0.0         359.1200,0.0          362.1200,0.0          53.314
    4     363.6200,0.0          372.6200,0.0         366.6200,0.0          369.6200,0.0          53.751
    4     371.1200,0.0          380.1200,0.0         374.1200,0.0          377.1200,0.0          54.913
