Mixed array
 1.0
 11
0
Type of measurement (0=app. resistivity,1=resistance)
 0
407
1
0
4       0.00 0.00       3.00 0.00       1.00 0.00       2.00 0.00     10.158
4       1.00 0.00       4.00 0.00       2.00 0.00       3.00 0.00     10.168
4       2.00 0.00       5.00 0.00       3.00 0.00       4.00 0.00     10.184
4       3.00 0.00       6.00 0.00       4.00 0.00       5.00 0.00     10.225
4       4.00 0.00       7.00 0.00       5.00 0.00       6.00 0.00     10.337
4       5.00 0.00       8.00 0.00       6.00 0.00       7.00 0.00     10.708
4       6.00 0.00       9.00 0.00       7.00 0.00       8.00 0.00     11.668
4       7.00 0.00      10.00 0.00       8.00 0.00       9.00 0.00     12.542
4       8.00 0.00      11.00 0.00       9.00 0.00      10.00 0.00     12.871
4       9.00 0.00      12.00 0.00      10.00 0.00      11.00 0.00     13.238
4      10.00 0.00      13.00 0.00      11.00 0.00      12.00 0.00     13.342
4      11.00 0.00      14.00 0.00      12.00 0.00      13.00 0.00     13.231
4      12.00 0.00      15.00 0.00      13.00 0.00      14.00 0.00     12.855
4      13.00 0.00      16.00 0.00      14.00 0.00      15.00 0.00     12.511
4      14.00 0.00      17.00 0.00      15.00 0.00      16.00 0.00     11.598
4      15.00 0.00      18.00 0.00      16.00 0.00      17.00 0.00     10.471
4      16.00 0.00      19.00 0.00      17.00 0.00      18.00 0.00      9.203
4      17.00 0.00      20.00 0.00      18.00 0.00      19.00 0.00      8.369
4      18.00 0.00      21.00 0.00      19.00 0.00      20.00 0.00      6.656
4      19.00 0.00      22.00 0.00      20.00 0.00      21.00 0.00      6.640
4      20.00 0.00      23.00 0.00      21.00 0.00      22.00 0.00      8.187
4      21.00 0.00      24.00 0.00      22.00 0.00      23.00 0.00      8.688
4      22.00 0.00      25.00 0.00      23.00 0.00      24.00 0.00      8.915
4      23.00 0.00      26.00 0.00      24.00 0.00      25.00 0.00      8.609
4      24.00 0.00      27.00 0.00      25.00 0.00      26.00 0.00      7.539
4      25.00 0.00      28.00 0.00      26.00 0.00      27.00 0.00      7.563
4      26.00 0.00      29.00 0.00      27.00 0.00      28.00 0.00      8.698
4      27.00 0.00      30.00 0.00      28.00 0.00      29.00 0.00      9.214
4      28.00 0.00      31.00 0.00      29.00 0.00      30.00 0.00      9.875
4      29.00 0.00      32.00 0.00      30.00 0.00      31.00 0.00     10.060
4      30.00 0.00      33.00 0.00      31.00 0.00      32.00 0.00     10.114
4      31.00 0.00      34.00 0.00      32.00 0.00      33.00 0.00     10.132
4       0.00 0.00       5.00 0.00       2.00 0.00       3.00 0.00     10.136
4       1.00 0.00       6.00 0.00       3.00 0.00       4.00 0.00     10.226
4       2.00 0.00       7.00 0.00       4.00 0.00       5.00 0.00     10.442
4       3.00 0.00       8.00 0.00       5.00 0.00       6.00 0.00     10.990
4       4.00 0.00       9.00 0.00       6.00 0.00       7.00 0.00     12.143
4       5.00 0.00      10.00 0.00       7.00 0.00       8.00 0.00     14.244
4       6.00 0.00      11.00 0.00       8.00 0.00       9.00 0.00     16.088
4       7.00 0.00      12.00 0.00       9.00 0.00      10.00 0.00     16.311
4       8.00 0.00      13.00 0.00      10.00 0.00      11.00 0.00     16.769
4       9.00 0.00      14.00 0.00      11.00 0.00      12.00 0.00     17.174
4      10.00 0.00      15.00 0.00      12.00 0.00      13.00 0.00     16.735
4      11.00 0.00      16.00 0.00      13.00 0.00      14.00 0.00     16.235
4      12.00 0.00      17.00 0.00      14.00 0.00      15.00 0.00     15.922
4      13.00 0.00      18.00 0.00      15.00 0.00      16.00 0.00     13.836
4      14.00 0.00      19.00 0.00      16.00 0.00      17.00 0.00     10.789
4      15.00 0.00      20.00 0.00      17.00 0.00      18.00 0.00      9.143
4      16.00 0.00      21.00 0.00      18.00 0.00      19.00 0.00      8.631
4      17.00 0.00      22.00 0.00      19.00 0.00      20.00 0.00      5.706
4      18.00 0.00      23.00 0.00      20.00 0.00      21.00 0.00      5.556
4      19.00 0.00      24.00 0.00      21.00 0.00      22.00 0.00      7.662
4      20.00 0.00      25.00 0.00      22.00 0.00      23.00 0.00      6.629
4      21.00 0.00      26.00 0.00      23.00 0.00      24.00 0.00      6.518
4      22.00 0.00      27.00 0.00      24.00 0.00      25.00 0.00      7.439
4      23.00 0.00      28.00 0.00      25.00 0.00      26.00 0.00      5.968
4      24.00 0.00      29.00 0.00      26.00 0.00      27.00 0.00      6.062
4      25.00 0.00      30.00 0.00      27.00 0.00      28.00 0.00      7.940
4      26.00 0.00      31.00 0.00      28.00 0.00      29.00 0.00      8.083
4      27.00 0.00      32.00 0.00      29.00 0.00      30.00 0.00      8.668
4      28.00 0.00      33.00 0.00      30.00 0.00      31.00 0.00      9.542
4      29.00 0.00      34.00 0.00      31.00 0.00      32.00 0.00      9.853
4       0.00 0.00       7.00 0.00       3.00 0.00       4.00 0.00     10.640
4       1.00 0.00       8.00 0.00       4.00 0.00       5.00 0.00     11.222
4       2.00 0.00       9.00 0.00       5.00 0.00       6.00 0.00     12.172
4       3.00 0.00      10.00 0.00       6.00 0.00       7.00 0.00     13.738
4       4.00 0.00      11.00 0.00       7.00 0.00       8.00 0.00     16.563
4       5.00 0.00      12.00 0.00       8.00 0.00       9.00 0.00     19.025
4       6.00 0.00      13.00 0.00       9.00 0.00      10.00 0.00     18.752
4       7.00 0.00      14.00 0.00      10.00 0.00      11.00 0.00     18.153
4       8.00 0.00      15.00 0.00      11.00 0.00      12.00 0.00     17.803
4       9.00 0.00      16.00 0.00      12.00 0.00      13.00 0.00     18.053
4      10.00 0.00      17.00 0.00      13.00 0.00      14.00 0.00     18.496
4      11.00 0.00      18.00 0.00      14.00 0.00      15.00 0.00     18.451
4      12.00 0.00      19.00 0.00      15.00 0.00      16.00 0.00     15.236
4      13.00 0.00      20.00 0.00      16.00 0.00      17.00 0.00     12.141
4      14.00 0.00      21.00 0.00      17.00 0.00      18.00 0.00     11.025
4      15.00 0.00      22.00 0.00      18.00 0.00      19.00 0.00      9.927
4      16.00 0.00      23.00 0.00      19.00 0.00      20.00 0.00      5.587
4      17.00 0.00      24.00 0.00      20.00 0.00      21.00 0.00      5.065
4      18.00 0.00      25.00 0.00      21.00 0.00      22.00 0.00      7.130
4      19.00 0.00      26.00 0.00      22.00 0.00      23.00 0.00      6.842
4      20.00 0.00      27.00 0.00      23.00 0.00      24.00 0.00      6.620
4      21.00 0.00      28.00 0.00      24.00 0.00      25.00 0.00      6.610
4      22.00 0.00      29.00 0.00      25.00 0.00      26.00 0.00      5.233
4      23.00 0.00      30.00 0.00      26.00 0.00      27.00 0.00      5.542
4      24.00 0.00      31.00 0.00      27.00 0.00      28.00 0.00      8.194
4      25.00 0.00      32.00 0.00      28.00 0.00      29.00 0.00      8.434
4      26.00 0.00      33.00 0.00      29.00 0.00      30.00 0.00      8.175
4      27.00 0.00      34.00 0.00      30.00 0.00      31.00 0.00      8.592
4       0.00 0.00       9.00 0.00       4.00 0.00       5.00 0.00     12.053
4       1.00 0.00      10.00 0.00       5.00 0.00       6.00 0.00     13.082
4       2.00 0.00      11.00 0.00       6.00 0.00       7.00 0.00     14.797
4       3.00 0.00      12.00 0.00       7.00 0.00       8.00 0.00     17.959
4       4.00 0.00      13.00 0.00       8.00 0.00       9.00 0.00     20.518
4       5.00 0.00      14.00 0.00       9.00 0.00      10.00 0.00     19.389
4       6.00 0.00      15.00 0.00      10.00 0.00      11.00 0.00     17.468
4       7.00 0.00      16.00 0.00      11.00 0.00      12.00 0.00     16.529
4       8.00 0.00      17.00 0.00      12.00 0.00      13.00 0.00     17.210
4       9.00 0.00      18.00 0.00      13.00 0.00      14.00 0.00     18.709
4      10.00 0.00      19.00 0.00      14.00 0.00      15.00 0.00     19.135
4      11.00 0.00      20.00 0.00      15.00 0.00      16.00 0.00     16.620
4      12.00 0.00      21.00 0.00      16.00 0.00      17.00 0.00     13.884
4      13.00 0.00      22.00 0.00      17.00 0.00      18.00 0.00     12.483
4      14.00 0.00      23.00 0.00      18.00 0.00      19.00 0.00     11.045
4      15.00 0.00      24.00 0.00      19.00 0.00      20.00 0.00      5.680
4      16.00 0.00      25.00 0.00      20.00 0.00      21.00 0.00      4.516
4      17.00 0.00      26.00 0.00      21.00 0.00      22.00 0.00      7.338
4      18.00 0.00      27.00 0.00      22.00 0.00      23.00 0.00      8.134
4      19.00 0.00      28.00 0.00      23.00 0.00      24.00 0.00      8.061
4      20.00 0.00      29.00 0.00      24.00 0.00      25.00 0.00      6.907
4      21.00 0.00      30.00 0.00      25.00 0.00      26.00 0.00      4.428
4      22.00 0.00      31.00 0.00      26.00 0.00      27.00 0.00      5.170
4      23.00 0.00      32.00 0.00      27.00 0.00      28.00 0.00      8.412
4      24.00 0.00      33.00 0.00      28.00 0.00      29.00 0.00      8.968
4      25.00 0.00      34.00 0.00      29.00 0.00      30.00 0.00      8.724
4       0.00 0.00      11.00 0.00       5.00 0.00       6.00 0.00     13.599
4       1.00 0.00      12.00 0.00       6.00 0.00       7.00 0.00     15.255
4       2.00 0.00      13.00 0.00       7.00 0.00       8.00 0.00     18.305
4       3.00 0.00      14.00 0.00       8.00 0.00       9.00 0.00     20.324
4       4.00 0.00      15.00 0.00       9.00 0.00      10.00 0.00     18.172
4       5.00 0.00      16.00 0.00      10.00 0.00      11.00 0.00     16.208
4       6.00 0.00      17.00 0.00      11.00 0.00      12.00 0.00     15.468
4       7.00 0.00      18.00 0.00      12.00 0.00      13.00 0.00     15.597
4       8.00 0.00      19.00 0.00      13.00 0.00      14.00 0.00     16.762
4       9.00 0.00      20.00 0.00      14.00 0.00      15.00 0.00     19.092
4      10.00 0.00      21.00 0.00      15.00 0.00      16.00 0.00     17.610
4      11.00 0.00      22.00 0.00      16.00 0.00      17.00 0.00     14.743
4      12.00 0.00      23.00 0.00      17.00 0.00      18.00 0.00     13.223
4      13.00 0.00      24.00 0.00      18.00 0.00      19.00 0.00     11.631
4      14.00 0.00      25.00 0.00      19.00 0.00      20.00 0.00      5.702
4      15.00 0.00      26.00 0.00      20.00 0.00      21.00 0.00      4.600
4      16.00 0.00      27.00 0.00      21.00 0.00      22.00 0.00      8.497
4      17.00 0.00      28.00 0.00      22.00 0.00      23.00 0.00      9.254
4      18.00 0.00      29.00 0.00      23.00 0.00      24.00 0.00      9.124
4      19.00 0.00      30.00 0.00      24.00 0.00      25.00 0.00      7.998
4      20.00 0.00      31.00 0.00      25.00 0.00      26.00 0.00      4.378
4      21.00 0.00      32.00 0.00      26.00 0.00      27.00 0.00      4.785
4      22.00 0.00      33.00 0.00      27.00 0.00      28.00 0.00      8.456
4      23.00 0.00      34.00 0.00      28.00 0.00      29.00 0.00      9.273
4       0.00 0.00      13.00 0.00       6.00 0.00       7.00 0.00     15.057
4       1.00 0.00      14.00 0.00       7.00 0.00       8.00 0.00     17.455
4       2.00 0.00      15.00 0.00       8.00 0.00       9.00 0.00     18.477
4       3.00 0.00      16.00 0.00       9.00 0.00      10.00 0.00     16.613
4       4.00 0.00      17.00 0.00      10.00 0.00      11.00 0.00     15.264
4       5.00 0.00      18.00 0.00      11.00 0.00      12.00 0.00     14.503
4       6.00 0.00      19.00 0.00      12.00 0.00      13.00 0.00     14.149
4       7.00 0.00      20.00 0.00      13.00 0.00      14.00 0.00     15.551
4       8.00 0.00      21.00 0.00      14.00 0.00      15.00 0.00     17.983
4       9.00 0.00      22.00 0.00      15.00 0.00      16.00 0.00     17.085
4      10.00 0.00      23.00 0.00      16.00 0.00      17.00 0.00     14.667
4      11.00 0.00      24.00 0.00      17.00 0.00      18.00 0.00     13.288
4      12.00 0.00      25.00 0.00      18.00 0.00      19.00 0.00     11.711
4      13.00 0.00      26.00 0.00      19.00 0.00      20.00 0.00      5.875
4      14.00 0.00      27.00 0.00      20.00 0.00      21.00 0.00      5.081
