Fault Model
   1.00
3
156
1
1
Chargeability
mV/V
0.0,1.0
      1.50       1.00 1      12.04       7.20
      2.50       1.00 1      12.03       7.19
      3.50       1.00 1      12.02       7.19
      4.50       1.00 1      12.02       7.18
      5.50       1.00 1      12.02       7.18
      6.50       1.00 1      12.02       7.19
      7.50       1.00 1      12.02       7.20
      8.50       1.00 1      12.02       7.23
      9.50       1.00 1      12.03       7.27
     10.50       1.00 1      12.04       7.36
     11.50       1.00 1      12.06       7.50
     12.50       1.00 1      12.09       7.75
     13.50       1.00 1      12.16       8.22
     14.50       1.00 1      12.32       9.18
     15.50       1.00 1      12.61      10.69
     16.50       1.00 1      11.66       5.38
     17.50       1.00 1      10.16      -2.16
     18.50       1.00 1       9.86      -1.81
     19.50       1.00 1      10.04      -0.70
     20.50       1.00 1      10.12      -0.30
     21.50       1.00 1      10.15      -0.14
     22.50       1.00 1      10.17      -0.07
     23.50       1.00 1      10.18      -0.03
      2.00       1.00 2      15.98      20.42
      3.00       1.00 2      15.95      20.43
      4.00       1.00 2      15.94      20.43
      5.00       1.00 2      15.94      20.45
      6.00       1.00 2      15.94      20.48
      7.00       1.00 2      15.95      20.54
      8.00       1.00 2      15.96      20.61
      9.00       1.00 2      15.98      20.74
     10.00       1.00 2      16.02      20.92
     11.00       1.00 2      16.07      21.22
     12.00       1.00 2      16.18      21.70
     13.00       1.00 2      16.37      22.53
     14.00       1.00 2      16.77      24.06
     15.00       1.00 2      17.32      26.13
     16.00       1.00 2      15.22      18.88
     17.00       1.00 2      12.11       5.26
     18.00       1.00 2      10.22      -2.18
     19.00       1.00 2       9.48      -3.44
     20.00       1.00 2       9.73      -1.78
     21.00       1.00 2       9.90      -0.87
     22.00       1.00 2       9.99      -0.46
     23.00       1.00 2      10.04      -0.26
      2.50       1.00 3      19.60      30.35
      3.50       1.00 3      19.57      30.40
      4.50       1.00 3      19.56      30.44
      5.50       1.00 3      19.57      30.51
      6.50       1.00 3      19.59      30.60
      7.50       1.00 3      19.62      30.74
      8.50       1.00 3      19.66      30.94
      9.50       1.00 3      19.73      31.24
     10.50       1.00 3      19.84      31.67
     11.50       1.00 3      20.03      32.34
     12.50       1.00 3      20.37      33.42
     13.50       1.00 3      21.01      35.25
     14.50       1.00 3      21.71      37.43
     15.50       1.00 3      18.53      29.28
     16.50       1.00 3      14.47      14.10
     17.50       1.00 3      12.18       4.16
     18.50       1.00 3      10.38      -1.70
     19.50       1.00 3       9.28      -4.63
     20.50       1.00 3       9.52      -3.00
     21.50       1.00 3       9.78      -1.64
     22.50       1.00 3       9.92      -0.95
      3.00       1.00 4      22.61      38.35
      4.00       1.00 4      22.58      38.45
      5.00       1.00 4      22.58      38.54
      6.00       1.00 4      22.61      38.69
      7.00       1.00 4      22.66      38.89
      8.00       1.00 4      22.73      39.16
      9.00       1.00 4      22.85      39.55
     10.00       1.00 4      23.03      40.11
     11.00       1.00 4      23.32      40.93
     12.00       1.00 4      23.81      42.18
     13.00       1.00 4      24.65      44.15
     14.00       1.00 4      25.40      46.29
     15.00       1.00 4      21.23      37.55
     16.00       1.00 4      16.44      21.48
     17.00       1.00 4      13.94      10.68
     18.00       1.00 4      12.24       3.69
     19.00       1.00 4      10.54      -1.08
     20.00       1.00 4       9.15      -5.46
     21.00       1.00 4       9.33      -4.23
     22.00       1.00 4       9.66      -2.50
      3.50       1.00 5      25.10      45.15
      4.50       1.00 5      25.09      45.31
      5.50       1.00 5      25.12      45.52
      6.50       1.00 5      25.19      45.77
      7.50       1.00 5      25.30      46.11
      8.50       1.00 5      25.46      46.59
      9.50       1.00 5      25.71      47.25
     10.50       1.00 5      26.09      48.18
     11.50       1.00 5      26.72      49.52
     12.50       1.00 5      27.73      51.53
     13.50       1.00 5      28.46      53.62
     14.50       1.00 5      23.41      44.45
     15.50       1.00 5      18.02      27.76
     16.50       1.00 5      15.36      16.45
     17.50       1.00 5      13.68       8.90
     18.50       1.00 5      12.30       3.60
     19.50       1.00 5      10.67      -0.46
     20.50       1.00 5       9.05      -6.06
     21.50       1.00 5       9.16      -5.42
      4.00       1.00 6      27.22      51.09
      5.00       1.00 6      27.24      51.35
      6.00       1.00 6      27.32      51.67
      7.00       1.00 6      27.46      52.09
      8.00       1.00 6      27.67      52.64
      9.00       1.00 6      27.99      53.38
     10.00       1.00 6      28.46      54.38
     11.00       1.00 6      29.21      55.78
     12.00       1.00 6      30.35      57.78
     13.00       1.00 6      31.02      59.80
     14.00       1.00 6      25.18      50.34
     15.00       1.00 6      19.30      33.16
     16.00       1.00 6      16.50      21.52
     17.00       1.00 6      14.81      13.66
     18.00       1.00 6      13.53       7.91
     19.00       1.00 6      12.35       3.66
     20.00       1.00 6      10.77       0.15
     21.00       1.00 6       8.97      -6.47
      4.50       1.00 7      29.07      56.44
      5.50       1.00 7      29.15      56.81
      6.50       1.00 7      29.32      57.29
      7.50       1.00 7      29.57      57.89
      8.50       1.00 7      29.95      58.68
      9.50       1.00 7      30.51      59.75
     10.50       1.00 7      31.36      61.15
     11.50       1.00 7      32.60      63.13
     12.50       1.00 7      33.17      65.09
     13.50       1.00 7      26.62      55.38
     14.50       1.00 7      20.34      37.84
     15.50       1.00 7      17.43      25.95
     16.50       1.00 7      15.72      17.91
     17.50       1.00 7      14.50      11.97
     18.50       1.00 7      13.45       7.36
     19.50       1.00 7      12.40       3.83
     20.50       1.00 7      10.87       0.70
      5.00       1.00 8      30.77      61.30
      6.00       1.00 8      30.94      61.82
      7.00       1.00 8      31.23      62.50
      8.00       1.00 8      31.66      63.34
      9.00       1.00 8      32.30      64.41
     10.00       1.00 8      33.23      65.84
     11.00       1.00 8      34.54      67.80
     12.00       1.00 8      34.99      69.68
     13.00       1.00 8      27.82      59.80
     14.00       1.00 8      21.20      41.94
     15.00       1.00 8      18.19      29.88
     16.00       1.00 8      16.48      21.72
     17.00       1.00 8      15.27      15.71
     18.00       1.00 8      14.30      10.94
     19.00       1.00 8      13.41       7.04
     20.00       1.00 8      12.46       4.04
0
0
0
0
0
0
0
