Boundary and blocks - general array format
   2.00
11
0
Type of measurement (0=app. resistivity,1=resistance)
 0
892
1
0
4  -10.000,   0.000   -4.000,   0.000   -8.000,   0.000   -6.000,   0.000    10.51620
4   -8.000,   0.000   -2.000,   0.000   -6.000,   0.000   -4.000,   0.000    10.52280
4   -6.000,   0.000    0.000,   0.000   -4.000,   0.000   -2.000,   0.000    10.53600
4   -4.000,   0.000    2.000,   0.000   -2.000,   0.000    0.000,   0.000    10.61190
4   -2.000,   0.000    4.000,   0.000    0.000,   0.000    2.000,   0.000    12.41840
4    0.000,   0.000    6.000,   0.000    2.000,   0.000    4.000,   0.000     9.68780
4    2.000,   0.000    8.000,   0.000    4.000,   0.000    6.000,   0.000    14.89730
4    4.000,   0.000   10.000,   0.000    6.000,   0.000    8.000,   0.000    14.89880
4    6.000,   0.000   12.000,   0.000    8.000,   0.000   10.000,   0.000     9.69020
4    8.000,   0.000   14.000,   0.000   10.000,   0.000   12.000,   0.000    12.42450
4   10.000,   0.000   16.000,   0.000   12.000,   0.000   14.000,   0.000    10.62560
4   12.000,   0.000   18.000,   0.000   14.000,   0.000   16.000,   0.000    10.57110
4   14.000,   0.000   20.000,   0.000   16.000,   0.000   18.000,   0.000    10.65560
4   16.000,   0.000   22.000,   0.000   18.000,   0.000   20.000,   0.000    11.34100
4   18.000,   0.000   24.000,   0.000   20.000,   0.000   22.000,   0.000    13.96940
4   20.000,   0.000   26.000,   0.000   22.000,   0.000   24.000,   0.000    16.41320
4   22.000,   0.000   28.000,   0.000   24.000,   0.000   26.000,   0.000    15.85710
4   24.000,   0.000   30.000,   0.000   26.000,   0.000   28.000,   0.000    16.40530
4   26.000,   0.000   32.000,   0.000   28.000,   0.000   30.000,   0.000    13.95120
4   28.000,   0.000   34.000,   0.000   30.000,   0.000   32.000,   0.000    11.29230
4   30.000,   0.000   36.000,   0.000   32.000,   0.000   34.000,   0.000    10.45400
4   32.000,   0.000   38.000,   0.000   34.000,   0.000   36.000,   0.000     8.14140
4   34.000,   0.000   40.000,   0.000   36.000,   0.000   38.000,   0.000    10.07000
4   36.000,   0.000   42.000,   0.000   38.000,   0.000   40.000,   0.000     3.05930
4   38.000,   0.000   44.000,   0.000   40.000,   0.000   42.000,   0.000    10.05030
4   40.000,   0.000   46.000,   0.000   42.000,   0.000   44.000,   0.000     8.09280
4   42.000,   0.000   48.000,   0.000   44.000,   0.000   46.000,   0.000    10.29880
4   44.000,   0.000   50.000,   0.000   46.000,   0.000   48.000,   0.000    10.42130
4   46.000,   0.000   52.000,   0.000   48.000,   0.000   50.000,   0.000    10.32290
4   48.000,   0.000   54.000,   0.000   50.000,   0.000   52.000,   0.000     8.27160
4   50.000,   0.000   56.000,   0.000   52.000,   0.000   54.000,   0.000    10.00630
4   52.000,   0.000   58.000,   0.000   54.000,   0.000   56.000,   0.000     4.41870
4   54.000,   0.000   60.000,   0.000   56.000,   0.000   58.000,   0.000     4.41920
4   56.000,   0.000   62.000,   0.000   58.000,   0.000   60.000,   0.000    10.01200
4   58.000,   0.000   64.000,   0.000   60.000,   0.000   62.000,   0.000     8.28170
4   60.000,   0.000   66.000,   0.000   62.000,   0.000   64.000,   0.000    10.34230
4   62.000,   0.000   68.000,   0.000   64.000,   0.000   66.000,   0.000    10.47000
4   64.000,   0.000   70.000,   0.000   66.000,   0.000   68.000,   0.000    10.49580
4   66.000,   0.000   72.000,   0.000   68.000,   0.000   70.000,   0.000    10.50470
4   68.000,   0.000   74.000,   0.000   70.000,   0.000   72.000,   0.000    10.50870
4   70.000,   0.000   76.000,   0.000   72.000,   0.000   74.000,   0.000    10.51080
4   72.000,   0.000   78.000,   0.000   74.000,   0.000   76.000,   0.000    10.51200
4   74.000,   0.000   80.000,   0.000   76.000,   0.000   78.000,   0.000    10.51270
4   76.000,   0.000   82.000,   0.000   78.000,   0.000   80.000,   0.000    10.51320
4   78.000,   0.000   84.000,   0.000   80.000,   0.000   82.000,   0.000    10.51360
4   80.000,   0.000   86.000,   0.000   82.000,   0.000   84.000,   0.000    10.51380
4   82.000,   0.000   88.000,   0.000   84.000,   0.000   86.000,   0.000    10.51370
