Blocks with IP
   2.00
11
10
   1.00
Type of measurement (0=app. resistivity,1=resistance)
0
530
1
1
Chargability
msec
0.10,1.00
3     0.0000,0.0      2.0000,0.0      4.0000,0.0     100.7976    -0.9118
3     2.0000,0.0      4.0000,0.0      6.0000,0.0     102.0548    -1.8678
3     4.0000,0.0      6.0000,0.0      8.0000,0.0     104.9487    -4.3391
3     6.0000,0.0      8.0000,0.0     10.0000,0.0     111.0159    -9.0335
3     8.0000,0.0     10.0000,0.0     12.0000,0.0      69.3186    30.1115
3    10.0000,0.0     12.0000,0.0     14.0000,0.0      39.5917    79.5828
3    12.0000,0.0     14.0000,0.0     16.0000,0.0      47.8222    65.6637
3    14.0000,0.0     16.0000,0.0     18.0000,0.0      66.6119    39.5660
3    16.0000,0.0     18.0000,0.0     20.0000,0.0      91.7383     8.2850
3    18.0000,0.0     20.0000,0.0     22.0000,0.0      97.0271     2.6223
3    20.0000,0.0     22.0000,0.0     24.0000,0.0      97.7946     0.6452
3    22.0000,0.0     24.0000,0.0     26.0000,0.0      96.1416    -0.9864
3    24.0000,0.0     26.0000,0.0     28.0000,0.0      92.4413    -3.3639
3    26.0000,0.0     28.0000,0.0     30.0000,0.0     110.1615    -1.2232
3    28.0000,0.0     30.0000,0.0     32.0000,0.0     162.9562    17.2007
3    30.0000,0.0     32.0000,0.0     34.0000,0.0     235.2654    38.2142
3    32.0000,0.0     34.0000,0.0     36.0000,0.0     192.3479    30.2481
3    34.0000,0.0     36.0000,0.0     38.0000,0.0     127.4523     9.0991
3    36.0000,0.0     38.0000,0.0     40.0000,0.0     108.0818     2.2065
3    38.0000,0.0     40.0000,0.0     42.0000,0.0     105.6854    -0.5616
3    40.0000,0.0     42.0000,0.0     44.0000,0.0     121.2208    -6.0891
3    42.0000,0.0     44.0000,0.0     46.0000,0.0      18.9658    88.2667
3    44.0000,0.0     46.0000,0.0     48.0000,0.0      92.0985    27.9119
