Blocks Model
   1.00
6
Remote electrodes included
C2 remote electrode X, Y and Z location
-25.000,10.000,0.0
Approximate Geometric factor used
570
1
0
      1.00       1.00 1      10.09
      2.00       1.00 1      10.10
      3.00       1.00 1      10.08
      4.00       1.00 1      10.04
      5.00       1.00 1       9.97
      6.00       1.00 1       9.84
      7.00       1.00 1       9.69
      8.00       1.00 1       9.99
      9.00       1.00 1      11.17
     10.00       1.00 1      12.54
     11.00       1.00 1      13.36
     12.00       1.00 1      13.97
     13.00       1.00 1      14.61
     14.00       1.00 1      15.12
     15.00       1.00 1      13.59
     16.00       1.00 1      11.46
     17.00       1.00 1      10.43
     18.00       1.00 1      10.01
     19.00       1.00 1      11.82
     20.00       1.00 1      16.04
     21.00       1.00 1      15.85
     22.00       1.00 1      12.24
     23.00       1.00 1      11.01
     24.00       1.00 1      10.86
     25.00       1.00 1       9.07
     26.00       1.00 1       7.25
     27.00       1.00 1       7.32
     28.00       1.00 1       8.46
     29.00       1.00 1       9.62
     30.00       1.00 1       9.97
     31.00       1.00 1      10.08
     32.00       1.00 1      10.12
     33.00       1.00 1      10.14
      1.50       1.00 2       9.83
      2.50       1.00 2       9.80
      3.50       1.00 2       9.72
      4.50       1.00 2       9.58
      5.50       1.00 2       9.36
      6.50       1.00 2       9.22
      7.50       1.00 2      10.03
      8.50       1.00 2      11.72
      9.50       1.00 2      14.35
     10.50       1.00 2      17.17
     11.50       1.00 2      19.18
     12.50       1.00 2      20.92
     13.50       1.00 2      22.12
     14.50       1.00 2      19.05
     15.50       1.00 2      14.54
     16.50       1.00 2      11.72
     17.50       1.00 2      10.57
     18.50       1.00 2      13.47
     19.50       1.00 2      16.89
     20.50       1.00 2      16.28
     21.50       1.00 2      14.49
     22.50       1.00 2      13.06
     23.50       1.00 2      11.74
     24.50       1.00 2       8.41
     25.50       1.00 2       5.75
     26.50       1.00 2       5.92
     27.50       1.00 2       6.45
     28.50       1.00 2       7.70
     29.50       1.00 2       9.14
     30.50       1.00 2       9.66
     31.50       1.00 2       9.85
     32.50       1.00 2       9.94
      2.00       1.00 3       9.67
      3.00       1.00 3       9.56
      4.00       1.00 3       9.37
      5.00       1.00 3       9.10
      6.00       1.00 3       9.10
      7.00       1.00 3      10.34
      8.00       1.00 3      12.09
      9.00       1.00 3      14.37
     10.00       1.00 3      17.93
     11.00       1.00 3      22.14
     12.00       1.00 3      25.64
     13.00       1.00 3      27.86
     14.00       1.00 3      23.87
     15.00       1.00 3      17.89
     16.00       1.00 3      14.06
     17.00       1.00 3      12.33
     18.00       1.00 3      15.74
     19.00       1.00 3      18.22
     20.00       1.00 3      14.83
     21.00       1.00 3      13.04
     22.00       1.00 3      14.06
     23.00       1.00 3      13.52
     24.00       1.00 3       8.54
     25.00       1.00 3       5.60
     26.00       1.00 3       6.44
     27.00       1.00 3       6.97
     28.00       1.00 3       6.85
     29.00       1.00 3       7.65
     30.00       1.00 3       9.00
     31.00       1.00 3       9.58
     32.00       1.00 3       9.83
      2.50       1.00 4       9.33
      3.50       1.00 4       9.11
      4.50       1.00 4       8.83
      5.50       1.00 4       8.97
      6.50       1.00 4      10.53
      7.50       1.00 4      12.26
      8.50       1.00 4      14.14
      9.50       1.00 4      16.85
     10.50       1.00 4      21.26
     11.50       1.00 4      26.94
     12.50       1.00 4      30.84
     13.50       1.00 4      26.84
     14.50       1.00 4      20.19
     15.50       1.00 4      15.90
     16.50       1.00 4      14.17
     17.50       1.00 4      18.49
     18.50       1.00 4      20.16
     19.50       1.00 4      14.84
     20.50       1.00 4      11.60
     21.50       1.00 4      12.20
     22.50       1.00 4      13.62
     23.50       1.00 4       9.17
     24.50       1.00 4       5.84
     25.50       1.00 4       7.13
     26.50       1.00 4       7.93
     27.50       1.00 4       7.77
     28.50       1.00 4       7.31
     29.50       1.00 4       7.76
     30.50       1.00 4       8.92
     31.50       1.00 4       9.51
      3.00       1.00 5       8.84
      4.00       1.00 5       8.57
      5.00       1.00 5       8.85
      6.00       1.00 5      10.66
      7.00       1.00 5      12.36
      8.00       1.00 5      13.99
      9.00       1.00 5      16.08
     10.00       1.00 5      19.25
     11.00       1.00 5      24.60
     12.00       1.00 5      30.48
     13.00       1.00 5      27.72
     14.00       1.00 5      21.30
     15.00       1.00 5      17.02
     16.00       1.00 5      15.52
     17.00       1.00 5      20.90
     18.00       1.00 5      22.68
     19.00       1.00 5      15.65
     20.00       1.00 5      11.53
     21.00       1.00 5      10.98
     22.00       1.00 5      11.58
     23.00       1.00 5       8.75
     24.00       1.00 5       6.29
     25.00       1.00 5       7.93
     26.00       1.00 5       8.77
     27.00       1.00 5       8.75
     28.00       1.00 5       8.34
     29.00       1.00 5       7.70
     30.00       1.00 5       7.89
     31.00       1.00 5       8.88
      3.50       1.00 6       8.32
      4.50       1.00 6       8.75
      5.50       1.00 6      10.74
      6.50       1.00 6      12.41
      7.50       1.00 6      13.87
      8.50       1.00 6      15.60
      9.50       1.00 6      18.00
     10.50       1.00 6      21.72
     11.50       1.00 6      26.83
     12.50       1.00 6      26.18
     13.50       1.00 6      21.08
     14.50       1.00 6      17.33
     15.50       1.00 6      16.26
     16.50       1.00 6      22.46
     17.50       1.00 6      24.70
     18.50       1.00 6      16.95
     19.50       1.00 6      12.07
     20.50       1.00 6      10.99
     21.50       1.00 6      10.45
     22.50       1.00 6       7.29
     23.50       1.00 6       6.05
     24.50       1.00 6       8.72
     25.50       1.00 6       9.64
     26.50       1.00 6       9.51
     27.50       1.00 6       9.22
     28.50       1.00 6       8.72
     29.50       1.00 6       8.00
     30.50       1.00 6       8.03
      4.00       1.00 7       8.63
      5.00       1.00 7      10.76
      6.00       1.00 7      12.41
      7.00       1.00 7      13.73
      8.00       1.00 7      15.24
      9.00       1.00 7      17.19
     10.00       1.00 7      19.96
     11.00       1.00 7      23.16
     12.00       1.00 7      22.37
     13.00       1.00 7      19.34
     14.00       1.00 7      16.74
     15.00       1.00 7      16.33
     16.00       1.00 7      23.19
     17.00       1.00 7      25.80
     18.00       1.00 7      17.90
     19.00       1.00 7      12.91
     20.00       1.00 7      11.51
     21.00       1.00 7      10.42
     22.00       1.00 7       6.53
     23.00       1.00 7       5.25
     24.00       1.00 7       8.53
     25.00       1.00 7      10.41
     26.00       1.00 7      10.27
     27.00       1.00 7       9.87
     28.00       1.00 7       9.50
     29.00       1.00 7       8.98
     30.00       1.00 7       8.23
      4.50       1.00 8      10.73
      5.50       1.00 8      12.35
      6.50       1.00 8      13.58
      7.50       1.00 8      14.92
      8.50       1.00 8      16.60
      9.50       1.00 8      18.81
     10.50       1.00 8      20.93
     11.50       1.00 8      18.94
     12.50       1.00 8      16.25
     13.50       1.00 8      15.13
     14.50       1.00 8      15.64
     15.50       1.00 8      23.04
     16.50       1.00 8      26.06
     17.50       1.00 8      18.27
     18.50       1.00 8      13.44
     19.50       1.00 8      12.22
     20.50       1.00 8      10.83
