Thick dike (pole-pole, pole-dipole, dipole-dipole)
   5.00
 11
0
Type of measurement (0=app. resistivity,1=resistance)
 0
5477
1
0
2     0.0000,0.0      5.0000,0.0     409.1971
2     5.0000,0.0     10.0000,0.0     409.5132
2    10.0000,0.0     15.0000,0.0     409.3018
2    15.0000,0.0     20.0000,0.0     408.9672
2    20.0000,0.0     25.0000,0.0     408.5620
2    25.0000,0.0     30.0000,0.0     408.1006
2    30.0000,0.0     35.0000,0.0     407.5864
2    35.0000,0.0     40.0000,0.0     407.0178
2    40.0000,0.0     45.0000,0.0     406.3901
2    45.0000,0.0     50.0000,0.0     405.6962
2    50.0000,0.0     55.0000,0.0     404.9265
2    55.0000,0.0     60.0000,0.0     404.0683
2    60.0000,0.0     65.0000,0.0     403.1059
2    65.0000,0.0     70.0000,0.0     402.0188
2    70.0000,0.0     75.0000,0.0     400.7815
2    75.0000,0.0     80.0000,0.0     399.3604
2    80.0000,0.0     85.0000,0.0     397.7122
2    85.0000,0.0     90.0000,0.0     395.7791
2    90.0000,0.0     95.0000,0.0     393.4826
2    95.0000,0.0    100.0000,0.0     390.7139
2   100.0000,0.0    105.0000,0.0     387.3171
2   105.0000,0.0    110.0000,0.0     383.0624
2   110.0000,0.0    115.0000,0.0     377.5986
2   115.0000,0.0    120.0000,0.0     370.3716
2   120.0000,0.0    125.0000,0.0     360.4894
2   125.0000,0.0    130.0000,0.0     346.5810
2   130.0000,0.0    135.0000,0.0     327.2607
2   135.0000,0.0    140.0000,0.0     304.7614
2   140.0000,0.0    145.0000,0.0     288.8042
2   145.0000,0.0    150.0000,0.0     283.9943
2   150.0000,0.0    155.0000,0.0     288.8048
2   155.0000,0.0    160.0000,0.0     304.7627
2   160.0000,0.0    165.0000,0.0     327.2628
2   165.0000,0.0    170.0000,0.0     346.5841
2   170.0000,0.0    175.0000,0.0     360.4936
2   175.0000,0.0    180.0000,0.0     370.3767
2   180.0000,0.0    185.0000,0.0     377.6047
2   185.0000,0.0    190.0000,0.0     383.0696
2   190.0000,0.0    195.0000,0.0     387.3254
2   195.0000,0.0    200.0000,0.0     390.7232
2   200.0000,0.0    205.0000,0.0     393.4930
2   205.0000,0.0    210.0000,0.0     395.7906
2   210.0000,0.0    215.0000,0.0     397.7249
2   215.0000,0.0    220.0000,0.0     399.3742
2   220.0000,0.0    225.0000,0.0     400.7963
2   225.0000,0.0    230.0000,0.0     402.0348
2   230.0000,0.0    235.0000,0.0     403.1229
2   235.0000,0.0    240.0000,0.0     404.0865
2   240.0000,0.0    245.0000,0.0     404.9457
2   245.0000,0.0    250.0000,0.0     405.7166
2   250.0000,0.0    255.0000,0.0     406.4115
2   255.0000,0.0    260.0000,0.0     407.0402
2   260.0000,0.0    265.0000,0.0     407.6099
2   265.0000,0.0    270.0000,0.0     408.1252
2   270.0000,0.0    275.0000,0.0     408.5877
2   275.0000,0.0    280.0000,0.0     408.9939
2   280.0000,0.0    285.0000,0.0     409.3294
2   285.0000,0.0    290.0000,0.0     409.5418
2   290.0000,0.0    295.0000,0.0     409.2267
2     0.0000,0.0     10.0000,0.0     501.8914
2     5.0000,0.0     15.0000,0.0     501.7531
2    10.0000,0.0     20.0000,0.0     501.1893
2    15.0000,0.0     25.0000,0.0     500.4507
2    20.0000,0.0     30.0000,0.0     499.5902
2    25.0000,0.0     35.0000,0.0     498.6230
2    30.0000,0.0     40.0000,0.0     497.5501
2    35.0000,0.0     45.0000,0.0     496.3654
2    40.0000,0.0     50.0000,0.0     495.0570
2    45.0000,0.0     55.0000,0.0     493.6082
2    50.0000,0.0     60.0000,0.0     491.9971
2    55.0000,0.0     65.0000,0.0     490.1956
2    60.0000,0.0     70.0000,0.0     488.1683
2    65.0000,0.0     75.0000,0.0     485.8694
2    70.0000,0.0     80.0000,0.0     483.2411
2    75.0000,0.0     85.0000,0.0     480.2076
2    80.0000,0.0     90.0000,0.0     476.6697
2    85.0000,0.0     95.0000,0.0     472.4940
2    90.0000,0.0    100.0000,0.0     467.4973
2    95.0000,0.0    105.0000,0.0     461.4219
2   100.0000,0.0    110.0000,0.0     453.8944
2   105.0000,0.0    115.0000,0.0     444.3567
2   110.0000,0.0    120.0000,0.0     431.9502
2   115.0000,0.0    125.0000,0.0     415.3345
2   120.0000,0.0    130.0000,0.0     392.5163
2   125.0000,0.0    135.0000,0.0     361.4616
2   130.0000,0.0    140.0000,0.0     324.5874
2   135.0000,0.0    145.0000,0.0     294.3689
2   140.0000,0.0    150.0000,0.0     279.6643
2   145.0000,0.0    155.0000,0.0     279.6649
2   150.0000,0.0    160.0000,0.0     294.3708
2   155.0000,0.0    165.0000,0.0     324.5909
2   160.0000,0.0    170.0000,0.0     361.4668
2   165.0000,0.0    175.0000,0.0     392.5234
2   170.0000,0.0    180.0000,0.0     415.3436
2   175.0000,0.0    185.0000,0.0     431.9613
2   180.0000,0.0    190.0000,0.0     444.3699
2   185.0000,0.0    195.0000,0.0     453.9098
2   190.0000,0.0    200.0000,0.0     461.4394
2   195.0000,0.0    205.0000,0.0     467.5169
2   200.0000,0.0    210.0000,0.0     472.5157
2   205.0000,0.0    215.0000,0.0     476.6938
