Floating electrodes survey
   2.00
11
0
Type of measurement (0=app.resistivity, 1=resistance)
0
942
1
0
4    2.000,0.0    0.000,0.0    4.000,0.0    6.000,0.0     1.86738
4    4.000,0.0    2.000,0.0    6.000,0.0    8.000,0.0     1.86843
4    6.000,0.0    4.000,0.0    8.000,0.0   10.000,0.0     1.87070
4    8.000,0.0    6.000,0.0   10.000,0.0   12.000,0.0     1.87472
4   10.000,0.0    8.000,0.0   12.000,0.0   14.000,0.0     1.88189
4   12.000,0.0   10.000,0.0   14.000,0.0   16.000,0.0     1.89437
4   14.000,0.0   12.000,0.0   16.000,0.0   18.000,0.0     1.90447
4   16.000,0.0   14.000,0.0   18.000,0.0   20.000,0.0     1.86168
4   18.000,0.0   16.000,0.0   20.000,0.0   22.000,0.0     1.82883
4   20.000,0.0   18.000,0.0   22.000,0.0   24.000,0.0     1.85393
4   22.000,0.0   20.000,0.0   24.000,0.0   26.000,0.0     1.85253
4   24.000,0.0   22.000,0.0   26.000,0.0   28.000,0.0     1.88229
4   26.000,0.0   24.000,0.0   28.000,0.0   30.000,0.0     1.76634
4   28.000,0.0   26.000,0.0   30.000,0.0   32.000,0.0     1.59382
4   30.000,0.0   28.000,0.0   32.000,0.0   34.000,0.0     1.52881
4   32.000,0.0   30.000,0.0   34.000,0.0   36.000,0.0     1.57551
4   34.000,0.0   32.000,0.0   36.000,0.0   38.000,0.0     1.72977
4   36.000,0.0   34.000,0.0   38.000,0.0   40.000,0.0     1.87946
4   38.000,0.0   36.000,0.0   40.000,0.0   42.000,0.0     1.88410
4   40.000,0.0   38.000,0.0   42.000,0.0   44.000,0.0     1.85771
4   42.000,0.0   40.000,0.0   44.000,0.0   46.000,0.0     1.83628
4   44.000,0.0   42.000,0.0   46.000,0.0   48.000,0.0     1.82377
4   46.000,0.0   44.000,0.0   48.000,0.0   50.000,0.0     1.85748
4   48.000,0.0   46.000,0.0   50.000,0.0   52.000,0.0     1.88325
4   50.000,0.0   48.000,0.0   52.000,0.0   54.000,0.0     1.87520
4   52.000,0.0   50.000,0.0   54.000,0.0   56.000,0.0     1.87075
4   54.000,0.0   52.000,0.0   56.000,0.0   58.000,0.0     1.87463
4   56.000,0.0   54.000,0.0   58.000,0.0   60.000,0.0     1.88201
4   58.000,0.0   56.000,0.0   60.000,0.0   62.000,0.0     1.85527
4   60.000,0.0   58.000,0.0   62.000,0.0   64.000,0.0     1.81996
4   62.000,0.0   60.000,0.0   64.000,0.0   66.000,0.0     1.82951
4   64.000,0.0   62.000,0.0   66.000,0.0   68.000,0.0     1.84401
4   66.000,0.0   64.000,0.0   68.000,0.0   70.000,0.0     1.85070
4   68.000,0.0   66.000,0.0   70.000,0.0   72.000,0.0     1.85252
4   70.000,0.0   68.000,0.0   72.000,0.0   74.000,0.0     1.84788
4   72.000,0.0   70.000,0.0   74.000,0.0   76.000,0.0     1.82685
4   74.000,0.0   72.000,0.0   76.000,0.0   78.000,0.0     1.83656
4   76.000,0.0   74.000,0.0   78.000,0.0   80.000,0.0     1.94916
4   78.000,0.0   76.000,0.0   80.000,0.0   82.000,0.0     2.00216
4   80.000,0.0   78.000,0.0   82.000,0.0   84.000,0.0     1.98779
